"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,96,"None","A",1,484,0.9793,250.815427,0.3,251,251,248,,
1,96,"None","A",2,403,0.9628,248.9247312,0.4,250,250,246,,
1,96,"None","A",3,358,0.9581,249.9478585,0.5,251,251,247,,
1,96,"None","A",4,345,0.9565,252.0512077,0.3,253,253,249,,
1,96,"None","A",5,383,0.9452,250.1523064,0.1,250,251,248,,
1,96,"None","A",6,374,0.9706,252.4188948,0.1,252,253,251,,
1,96,"None","A",7,255,0.9412,251.8614379,0,252,252,250,,
1,96,"None","A",8,283,0.9717,252.8492344,0.2,253,253,250,,
1,96,"None","A",9,312,0.9199,251.3611111,0,251,252,249,,
1,96,"None","A",10,307,0.9186,252.0586319,0.2,252,252,250,,
1,96,"None","A",11,345,0.9797,250.094686,0.1,250,250,248,,
1,96,"None","A",12,342,0.962,250.9346979,0.2,251,251,249,,
1,96,"None","A",13,307,0.9446,253.0662324,0.1,253,254,251,,
1,96,"None","A",14,317,0.9558,252.2754995,-0.1,252,253,250,,
1,96,"None","A",15,335,0.9612,252.2646766,0.2,252,253,250,,
1,96,"None","A",16,326,0.9479,252.2423313,0.2,253,253,250,,
1,96,"None","A",17,368,0.9674,248.7300725,0.3,249,249,246,,
1,96,"None","A",18,351,0.943,251.2830009,0.3,252,252,248,,
1,96,"None","A",19,247,0.9595,249.5654521,0.9,251,250,246,,
1,96,"None","A",20,266,0.9624,243.9899749,0.7,245,245,241,,
1,96,"None","A",21,291,0.9897,247.7090493,0.5,249,249,244,,
1,96,"None","A",22,253,0.9289,244.4743083,1,246,245,241,,
1,96,"None","A",23,355,0.9718,239.3361502,0.7,241,241,235,,
1,96,"None","A",24,369,0.9675,246.9485095,0.7,248,248,243,,
1,96,"None","B",1,412,0.9612,247.6035599,0.4,248,249,244,,
1,96,"None","B",2,313,0.9137,248.4813632,0.5,249,249,245,,
1,96,"None","B",3,272,0.9338,249.6311275,0.5,250,251,246,,
1,96,"None","B",4,252,0.9246,247.6812169,0.1,248,249,245,,
1,96,"None","B",5,282,0.9397,250.0945626,0.4,251,251,247,,
1,96,"None","B",6,286,0.9476,250.9417249,0.2,251,252,248,,
1,96,"None","B",7,207,0.9372,250.1916264,-0.2,250,251,248,,
1,96,"None","B",8,207,0.9324,248.7181965,0.3,249,249,246,,
1,96,"None","B",9,221,0.9548,247.1613876,0.1,247,248,245,,
1,96,"None","B",10,212,0.9434,251.7154088,0.3,252,252,249,,
1,96,"None","B",11,260,0.9462,250.0782051,0.4,251,251,248,,
1,96,"None","B",12,255,0.9333,250.0941176,0.3,250,250,248,,
1,96,"None","B",13,229,0.9127,249.3799127,0.6,250,250,247,,
1,96,"None","B",14,227,0.9163,246.2129222,0.2,246,247,244,,
1,96,"None","B",15,242,0.9256,251.8002755,0.3,252,252,250,,
1,96,"None","B",16,236,0.9364,245.3008475,0.3,246,246,243,,
1,96,"None","B",17,263,0.9202,246.8884664,0.3,247,248,244,,
1,96,"None","B",18,263,0.9582,242.9226869,0.4,244,244,240,,
1,96,"None","B",19,181,0.9061,246.9005525,0.8,248,248,243,,
1,96,"None","B",20,201,0.9055,244.6898839,0.4,246,246,241,,
1,96,"None","B",21,208,0.9327,241.2628205,0.5,242,243,237,,
1,96,"None","B",22,218,0.9266,237.0779817,1.1,239,238,233,,
1,96,"None","B",23,269,0.9851,235.960347,0.8,237,238,232,,
1,96,"None","B",24,277,0.9675,242.3176895,0.6,243,244,239,2,
1,96,"None","C",1,309,0.9579,245.811219,0.3,247,247,242,,
1,96,"None","C",2,233,0.9871,244.9484979,0.1,245,246,242,,
1,96,"None","C",3,169,0.9349,246.5936884,-0.1,247,247,244,,
1,96,"None","C",4,161,0.9441,247.9917184,-0.1,248,249,246,,
1,96,"None","C",5,163,0.9325,252.7218814,0,253,254,250,,
1,96,"None","C",6,159,0.9308,252.7819706,0,253,254,250,,
1,96,"None","C",7,179,0.9106,249.8919926,0.4,250,250,247,,
1,96,"None","C",8,183,0.9344,248.5336976,-0.1,249,249,246,,
1,96,"None","C",9,155,0.929,246.1612903,0.5,247,247,243,,
1,96,"None","C",10,151,0.8808,247.7770419,-0.1,248,248,246,,
1,96,"None","C",11,178,0.9157,251.3670412,0.4,252,252,249,,
1,96,"None","C",12,158,0.9557,251.2953586,0.1,252,252,249,,
1,96,"None","C",13,230,0.9652,248.4101449,0.1,249,249,246,,
1,96,"None","C",14,223,0.9776,247.200299,0.3,248,248,245,,
1,96,"None","C",15,205,0.9707,246.4747967,0.3,247,247,244,,
1,96,"None","C",16,202,0.9356,247.5973597,0.2,248,249,245,,
1,96,"None","C",17,197,0.9492,240.9441624,0.5,242,242,238,,
1,96,"None","C",18,135,0.9037,248.5259259,0.5,250,250,245,,
1,96,"None","C",19,157,0.8917,245.5711253,0.6,247,247,241,,
1,96,"None","C",20,163,0.9141,244.3067485,1,246,246,240,,
1,96,"None","C",21,148,0.9122,241.704955,0.7,243,243,237,,
1,96,"None","C",22,160,0.9125,239.40625,1,241,241,235,,
1,96,"None","C",23,199,0.9447,239.0368509,0.8,241,241,234,,
1,96,"None","C",24,199,0.9447,236.7102178,0.6,238,238,232,,
1,96,"None","D",1,301,0.9535,245.2502769,0.4,246,247,241,,
1,96,"None","D",2,218,0.922,251.0061162,0.1,252,253,247,,
1,96,"None","D",3,159,0.9182,251.163522,0.4,252,252,249,,
1,96,"None","D",4,152,0.9211,250.6688596,0.1,251,252,247,,
1,96,"None","D",5,153,0.8954,249.3812636,0.2,250,250,247,,
1,96,"None","D",6,155,0.8968,252.4666667,-0.7,252,254,250,,
1,96,"None","D",7,166,0.9578,249.6506024,0.4,250,250,247,,
1,96,"None","D",8,166,0.9337,248.0120482,0.3,248,249,246,,
1,96,"None","D",9,151,0.9205,245.6732892,0.3,246,247,243,,
1,96,"None","D",10,143,0.965,247.2750583,-0.3,247,248,245,,
1,96,"None","D",11,156,0.9103,249.5042735,0.3,250,250,247,,
1,96,"None","D",12,144,0.9514,245.6527778,0.4,246,246,243,,
1,96,"None","D",13,206,0.9563,246.4271845,0.3,247,247,244,,
1,96,"None","D",14,208,0.9375,248.9294872,0.2,249,250,246,,
1,96,"None","D",15,196,0.9337,251.1139456,0.1,252,252,248,,
1,96,"None","D",16,197,0.9289,250.0524535,-0.1,250,251,248,,
1,96,"None","D",17,124,0.8871,245.9731183,0.6,247,247,242,,
1,96,"None","D",18,126,0.9127,242.0529101,0.3,243,244,238,,
1,96,"None","D",19,139,0.8921,248.5899281,0.6,250,250,245,,
1,96,"None","D",20,149,0.8993,245.1431767,0.7,246,247,241,,
1,96,"None","D",21,232,0.944,242.0574713,0.8,243,243,238,,
1,96,"None","D",22,140,0.8929,242.9309524,1.1,244,244,239,,
1,96,"None","D",23,174,0.9253,240.1532567,1.2,242,242,235,,
1,96,"None","D",24,208,0.9087,241.8397436,0.8,243,244,237,,
1,96,"None","E",1,351,0.943,240.9867047,0.3,242,242,238,,
1,96,"None","E",2,241,0.9378,250.3928077,0.4,251,251,247,,
1,96,"None","E",3,188,0.8989,250.9060284,-0.2,251,252,248,,
1,96,"None","E",4,167,0.9581,246.2934132,0.3,247,247,243,,
1,96,"None","E",5,203,0.9113,249.9490969,0.2,250,251,247,,
1,96,"None","E",6,208,0.9856,251.4455128,0.3,252,252,249,,
1,96,"None","E",7,169,0.9822,249.4970414,0,250,250,247,,
1,96,"None","E",8,174,0.8908,246.7413793,0,247,247,245,,
1,96,"None","E",9,89,0.8764,243.4756554,-0.2,244,245,240,,
1,96,"None","E",10,82,0.9512,242.7642276,0.2,244,244,239,,
1,96,"None","E",11,189,0.8942,246.0017637,0.6,247,247,243,,
1,96,"None","E",12,183,0.9235,242.8888889,-0.1,243,244,240,,
1,96,"None","E",13,171,0.9357,240.5730994,0.3,241,241,238,,
1,96,"None","E",14,179,0.9162,244.2122905,0.6,245,245,241,,
1,96,"None","E",15,145,0.931,247.1264368,-0.1,247,248,244,,
1,96,"None","E",16,137,0.8905,246.5839416,0.6,247,248,243,,
1,96,"None","E",17,169,0.9467,234.1696252,0.3,235,235,231,,
1,96,"None","E",18,168,0.9643,238.5396825,0.4,239,240,235,,
1,96,"None","E",19,156,0.9295,245.5598291,0.6,247,247,241,,
1,96,"None","E",20,144,0.8958,236.2060185,0.7,237,238,232,,
1,96,"None","E",21,178,0.9494,236.164794,0.9,237,238,232,,
1,96,"None","E",22,219,0.9087,231.0304414,1,233,233,226,,
1,96,"None","E",23,209,0.9617,242.1802233,0.5,244,244,237,,
1,96,"None","E",24,237,0.9789,235.0829817,0.9,236,237,231,,
1,96,"None","F",1,326,0.9571,248.0378323,0,248,249,245,,
1,96,"None","F",2,239,0.9833,251.3751743,0,252,253,248,,
1,96,"None","F",3,167,0.9521,247.6367265,0.1,248,249,244,,
1,96,"None","F",4,165,0.9758,246.2565657,0.2,247,247,243,,
1,96,"None","F",5,187,0.9037,249.8484848,0.3,250,251,247,,
1,96,"None","F",6,195,0.9487,249.9162393,0.1,250,251,247,,
1,96,"None","F",7,160,0.9375,250.8833333,0.1,251,252,248,,
1,96,"None","F",8,173,0.8902,245.0944123,0.3,246,246,242,,
1,96,"None","F",9,51,0.8824,227.3267974,0,228,228,224,,
1,96,"None","F",10,65,0.8462,240.1025641,-0.1,241,242,236,,
1,96,"None","F",11,198,0.9545,244.952862,1.1,246,245,243,,
1,96,"None","F",12,161,0.9317,247.8716356,0.7,248,248,246,,
1,96,"None","F",13,184,0.9348,244.2807971,0.3,245,245,242,,
1,96,"None","F",14,179,0.9106,248.2811918,0.7,249,249,246,,
1,96,"None","F",15,130,0.9385,248.5923077,-0.2,249,250,246,,
1,96,"None","F",16,138,0.8913,248.6666667,0.5,249,250,245,,
1,96,"None","F",17,156,0.8974,240.8034188,0.9,242,242,237,,
1,96,"None","F",18,159,0.9371,244.4654088,0.4,245,246,241,,
1,96,"None","F",19,143,0.9091,241.6130536,0.8,243,243,238,,
1,96,"None","F",20,142,0.9225,241.2629108,0.5,243,243,237,,
1,96,"None","F",21,175,0.9371,238.887619,0.9,240,240,235,,
1,96,"None","F",22,183,0.929,240.9726776,0.8,242,243,237,,
1,96,"None","F",23,215,0.9581,234.4511628,0.8,236,236,230,,
1,96,"None","F",24,211,0.9194,235.1469194,0.7,237,237,230,,
1,96,"None","G",1,323,0.9536,246.9009288,0.4,248,248,244,,
1,96,"None","G",2,230,0.9609,246.9202899,0.5,248,248,244,,
1,96,"None","G",3,221,0.9321,249.8898944,0,250,251,247,,
1,96,"None","G",4,209,0.9665,247.6299841,0.1,248,249,245,,
1,96,"None","G",5,190,0.8842,249.5842105,0.1,250,251,246,,
1,96,"None","G",6,182,0.9066,252.7289377,0.5,253,253,250,,
1,96,"None","G",7,208,0.9279,250.4391026,-0.1,251,251,248,,
1,96,"None","G",8,227,0.9163,247.154185,0.1,247,248,245,,
1,96,"None","G",9,146,0.9247,248.9155251,0.4,250,250,246,,
1,96,"None","G",10,136,0.9412,246.9583333,0,247,248,244,,
1,96,"None","G",11,204,0.9314,246.5588235,0.4,247,247,244,,
1,96,"None","G",12,186,0.9624,248.5645161,0.5,249,249,246,,
1,96,"None","G",13,168,0.9464,246.4980159,0.3,247,247,244,,
1,96,"None","G",14,172,0.9186,248.248062,1,249,248,246,,
1,96,"None","G",15,196,0.9286,243.7261905,0.4,244,244,241,,
1,96,"None","G",16,192,0.9115,247.3819444,0.4,248,248,244,,
1,96,"None","G",17,173,0.9364,246.4797688,0.3,247,248,243,,
1,96,"None","G",18,175,0.92,247.9657143,0.5,249,249,244,,
1,96,"None","G",19,194,0.9072,245.4020619,0.4,246,247,241,,
1,96,"None","G",20,193,0.9171,242.9827288,0.2,244,244,239,,
1,96,"None","G",21,122,0.877,247.8852459,0.1,249,250,244,,
1,96,"None","G",22,131,0.8931,241.8727735,0.6,243,244,237,,
1,96,"None","G",23,188,0.9096,239.9769504,1,242,242,235,,
1,96,"None","G",24,236,0.9661,241.1059322,0.8,243,243,236,,
