"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,16,"None","A",1,364,0.9423,252.7408425,0.5,253,253,250,,
1,16,"None","A",2,316,0.9177,252.5622363,0.3,253,253,250,,
1,16,"None","A",3,294,0.9184,252.6575964,0.3,253,253,250,,
1,16,"None","A",4,296,0.9257,252.8558559,0.2,253,253,251,,
1,16,"None","A",5,302,0.9238,252.7704194,0.2,253,253,250,,
1,16,"None","A",6,295,0.9525,252.8632768,0.2,253,253,251,,
1,16,"None","A",7,324,0.929,252.8816872,0.3,253,253,251,,
1,16,"None","A",8,327,0.945,253.1294597,0.3,253,253,251,,
1,16,"None","A",9,261,0.9617,252.8058748,0.2,253,253,251,,
1,16,"None","A",10,319,0.9624,252.9456635,0.2,253,253,251,,
1,16,"None","A",11,301,0.9169,252.8748616,0.3,253,253,251,,
1,16,"None","A",12,299,0.9732,252.8996656,0.2,253,253,251,,
1,16,"None","A",13,297,0.9764,252.8933782,0.3,253,253,251,,
1,16,"None","A",14,290,0.9828,252.8597701,0.4,253,253,250,,
1,16,"None","A",15,320,0.9813,252.5291667,0.4,253,253,250,,
1,16,"None","A",16,310,0.9548,252.7860215,0.3,253,253,250,,
1,16,"None","A",17,293,0.959,252.7531286,0.4,253,253,250,,
1,16,"None","A",18,290,0.9345,252.6333333,0.3,253,253,250,,
1,16,"None","A",19,325,0.9508,252.5323077,0.5,253,253,250,,
1,16,"None","A",20,318,0.9686,252.3616352,0.6,253,253,249,,
1,16,"None","A",21,250,0.916,252.128,0.9,253,253,248,,
1,16,"None","A",22,271,0.9446,251.8204182,1,253,253,247,,
1,16,"None","A",23,342,0.9444,250.9152047,1.3,253,252,246,,
1,16,"None","A",24,415,0.9759,250.7044177,1.2,252,252,246,,
1,16,"None","B",1,332,0.9639,252.2409639,0.5,253,253,249,,
1,16,"None","B",2,260,0.9538,252.3115385,0.5,253,253,249,,
1,16,"None","B",3,247,0.9595,252.4912281,0.5,253,253,250,,
1,16,"None","B",4,240,0.925,252.3833333,0.2,253,253,249,,
1,16,"None","B",5,241,0.9336,252.2683264,0.2,253,253,249,,
1,16,"None","B",6,235,0.9574,252.8042553,0.2,253,253,250,,
1,16,"None","B",7,253,0.9368,252.6350461,0.2,253,253,250,,
1,16,"None","B",8,253,0.9249,252.6442688,0.2,253,253,250,,
1,16,"None","B",9,192,0.9427,252.7673611,0.2,253,253,251,,
