"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,24,"None","A",1,427,0.9391,252.540203,0.3,253,253,250,,
1,24,"None","A",2,362,0.9392,252.5138122,0.3,253,253,250,,
1,24,"None","A",3,290,0.9621,252.2264368,0.5,253,253,249,,
1,24,"None","A",4,280,0.9464,252.6261905,0.4,253,253,250,,
1,24,"None","A",5,283,0.9894,252.5924617,0.3,253,253,250,,
1,24,"None","A",6,307,0.9544,252.8295331,0.3,253,253,251,,
1,24,"None","A",7,184,0.9293,252.2880435,0.2,253,253,250,,
1,24,"None","A",8,184,0.9293,252.259058,0.3,253,253,249,,
1,24,"None","A",9,277,0.9675,252.8375451,0.3,253,253,250,,
1,24,"None","A",10,279,0.9534,252.7048984,0.3,253,253,250,,
1,24,"None","A",11,258,0.9457,252.8062016,0.2,253,253,251,,
1,24,"None","A",12,255,0.9373,252.6718954,0.3,253,253,250,,
1,24,"None","A",13,239,0.9289,252.5453278,0.2,253,253,250,,
1,24,"None","A",14,236,0.9449,252.6370056,0.3,253,253,250,,
1,24,"None","A",15,253,0.9249,252.6903821,0.4,253,253,250,,
1,24,"None","A",16,242,0.9298,252.5179063,0.3,253,253,250,,
1,24,"None","A",17,280,0.9464,252.4857143,0.4,253,253,250,,
1,24,"None","A",18,290,0.9552,252.3827586,0.5,253,253,249,,
1,24,"None","A",19,185,0.9297,252.1171171,0.7,253,253,249,,
1,24,"None","A",20,184,0.9239,251.9094203,0.7,253,253,248,,
1,24,"None","A",21,215,0.9116,251.7844961,1,253,253,248,,
1,24,"None","A",22,219,0.9361,250.6651446,0.6,252,252,246,,
1,24,"None","A",23,288,0.9549,251.8923611,0.9,253,253,248,,
1,24,"None","A",24,376,0.9309,251.8803191,1,253,253,248,,
1,24,"None","B",1,383,0.9399,252.5143603,0.4,253,253,249,,
1,24,"None","B",2,310,0.9323,252.2516129,0.4,253,253,249,,
1,24,"None","B",3,236,0.9153,252.1228814,0.4,253,253,249,,
1,24,"None","B",4,228,0.9561,252.1403509,0.6,253,253,249,,
1,24,"None","B",5,243,0.9588,252.1673525,0.3,253,253,249,,
1,24,"None","B",6,245,0.902,252.2190476,0.5,253,253,249,,
1,24,"None","B",7,143,0.8881,252.4219114,0.2,253,253,249,,
1,24,"None","B",8,146,0.9247,252.5022831,0.2,253,253,250,,
1,24,"None","B",9,249,0.9317,252.1767068,0.3,253,253,249,,
1,24,"None","B",10,246,0.9228,252.5501355,0.3,253,253,250,,
1,24,"None","B",11,230,0.9304,252.3173913,0,253,253,249,,
1,24,"None","B",12,230,0.987,252.6956522,0.1,253,253,250,,
1,24,"None","B",13,210,0.9857,252.2111111,0.2,253,253,249,,
1,24,"None","B",14,204,0.9118,252.3251634,0.4,253,253,249,,
1,24,"None","B",15,213,0.9718,252.4397496,0.5,253,253,249,,
1,24,"None","B",16,206,0.9417,252.2168285,0.3,253,253,249,,
1,24,"None","B",17,238,0.9244,250.9537815,0.5,252,252,247,,
1,24,"None","B",18,239,0.9665,251.0320781,0.5,252,252,247,,
1,24,"None","B",19,136,0.9779,252.3529412,0.3,253,254,249,,
1,24,"None","B",20,137,0.9635,250.0924574,0.6,251,251,246,,
1,24,"None","B",21,187,0.9626,248.9536542,1.4,251,250,245,,
1,24,"None","B",22,197,0.9442,247.5837563,1.1,249,249,243,,
1,24,"None","B",23,279,0.9355,251.0358423,1.6,253,252,247,,
1,24,"None","B",24,311,0.926,250.7888532,1,252,252,246,,
1,24,"None","C",1,310,0.9516,252.3763441,0.3,253,253,249,,
1,24,"None","C",2,249,0.9438,252.1378849,0.6,253,253,249,,
1,24,"None","C",3,107,0.9159,251.7352025,-0.3,252,253,249,,
1,24,"None","C",4,102,0.8725,251.7124183,-0.2,252,253,248,,
1,24,"None","C",5,210,0.9476,252.3888889,0.3,253,253,250,,
1,24,"None","C",6,207,0.9903,252.7294686,0.2,253,253,250,,
1,24,"None","C",7,212,0.9623,252.5880503,0.1,253,253,250,,
1,24,"None","C",8,217,0.9724,252.3517665,0.5,253,253,250,,
1,24,"None","C",9,121,0.9421,252.1184573,0.3,253,253,249,,
1,24,"None","C",10,121,0.9091,252.5068871,0,253,253,250,,
1,24,"None","C",11,147,0.898,250.9931973,0.6,252,251,249,,
1,24,"None","C",12,142,0.9859,252.1784038,0.2,253,253,249,,
1,24,"None","C",13,219,0.9315,251.3896499,0.3,252,252,249,,
1,24,"None","C",14,215,0.9907,252.6542636,0.1,253,254,250,,
1,24,"None","C",15,109,0.9174,252.4189602,0,253,253,250,,
1,24,"None","C",16,115,0.9391,252.0608696,0.2,253,253,249,,
1,24,"None","C",17,211,0.9763,250.807267,0.5,252,252,248,,
1,24,"None","C",18,193,0.9378,250.8272884,0.3,252,252,247,,
1,24,"None","C",19,200,0.915,251.94,0.4,253,253,248,,
1,24,"None","C",20,206,0.932,251.9142395,1,253,253,248,,
1,24,"None","C",21,117,0.9573,251.6296296,0.8,253,253,247,,
1,24,"None","C",22,130,0.9692,251.4076923,0.7,253,253,246,,
1,24,"None","C",23,159,0.9245,249.9622642,0.6,251,252,245,,
1,24,"None","C",24,202,0.9059,251.6584158,1.3,254,254,246,,
1,24,"None","D",1,299,0.913,252.296544,0.4,253,253,249,,
1,24,"None","D",2,226,0.9159,252.5412979,0.5,253,253,250,,
1,24,"None","D",3,103,0.8738,252.1197411,0.2,253,253,249,,
1,24,"None","D",4,105,0.9238,251.7111111,-0.1,252,253,248,,
1,24,"None","D",5,197,0.9137,252.607445,0.2,253,253,250,,
1,24,"None","D",6,197,0.9442,252.57022,0.1,253,253,250,,
1,24,"None","D",7,199,0.9347,252.4170854,0.2,253,253,250,,
1,24,"None","D",8,202,0.9257,252.5313531,0.6,253,253,250,,
1,24,"None","D",9,115,0.9304,251.942029,0,252,253,249,,
1,24,"None","D",10,124,0.9597,251.9677419,0.1,252,253,249,,
1,24,"None","D",11,143,0.9231,252.4149184,0.5,253,253,249,,
1,24,"None","D",12,139,0.9065,252.2973621,0.4,253,253,250,,
1,24,"None","D",13,207,0.9855,252.0338164,0.3,253,253,249,,
1,24,"None","D",14,200,0.935,252.5033333,0,253,253,250,,
1,24,"None","D",15,105,0.8952,252.5365079,0.4,253,253,250,,
1,24,"None","D",16,105,0.8952,251.7142857,0.7,253,253,248,,
1,24,"None","D",17,187,0.9572,250.684492,0.7,252,252,248,,
1,24,"None","D",18,176,0.9261,252.3276515,0.6,253,253,249,,
