"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,18,"None","A",1,245,0.9755,252.5619048,0.4,253,253,251,,
1,18,"None","A",2,210,0.9238,252.5777778,0.2,253,253,251,,
1,18,"None","A",3,176,0.9432,252.3087121,0.3,252,252,251,,
1,18,"None","A",4,170,0.9706,252.7196078,0.2,253,253,251,,
1,18,"None","A",5,208,0.9615,252.6474359,0.3,253,253,250,,
1,18,"None","A",6,202,0.9059,252.7557756,0.3,253,253,251,,
1,18,"None","A",7,199,0.9196,252.358459,1,253,252,250,,
1,18,"None","A",8,196,0.8929,252.5833333,1.3,253,253,250,,
1,18,"None","A",9,171,0.9649,252.8654971,0.4,253,253,251,,
1,18,"None","A",10,177,0.9266,252.8964218,0.4,253,253,251,,
1,18,"None","A",11,183,0.9344,252.4735883,0.6,253,253,250,,
1,18,"None","A",12,173,0.948,252.3834297,0.5,253,253,250,,
1,18,"None","A",13,173,0.9364,252.5510597,0.4,253,253,251,,
1,18,"None","A",14,173,0.9364,252.5510597,0.5,253,253,251,,
1,18,"None","A",15,157,0.879,252.8343949,0.8,253,253,251,,
1,18,"None","A",16,150,0.9467,252.2977778,0.2,252,253,250,,
1,18,"None","A",17,190,0.9,252.3701754,0.9,253,253,250,,
1,18,"None","A",18,195,0.9128,252.4410256,1.3,253,253,250,,
1,18,"None","A",19,190,0.8947,252.2912281,1.1,253,253,249,,
1,18,"None","A",20,193,0.9119,251.865285,1.1,253,253,248,,
1,18,"None","A",21,166,0.9096,252.1646586,0.7,253,253,250,,
1,18,"None","A",22,177,0.904,251.9585687,1.2,253,253,249,,
1,18,"None","A",23,207,0.9807,251.8856683,1,253,253,248,,
1,18,"None","A",24,252,0.9524,251.797619,0.9,253,253,248,,
1,18,"None","B",1,203,0.9458,251.3776683,0.2,251,252,250,,
1,18,"None","B",2,166,0.9578,252.4076305,0.2,252,253,251,,
1,18,"None","B",3,150,0.9,252.2644444,0.2,252,252,251,,
1,18,"None","B",4,131,0.916,252.4071247,0.6,253,252,251,,
1,18,"None","B",5,173,0.9249,252.4046243,0.6,253,253,250,,
1,18,"None","B",6,166,0.9036,252.5,0.2,253,253,250,,
1,18,"None","B",7,160,0.925,251.9479167,0.4,252,252,250,,
1,18,"None","B",8,156,0.9487,251.9508547,1.2,253,252,249,,
1,18,"None","B",9,142,0.9789,252.2394366,0.1,252,252,251,,
1,18,"None","B",10,143,0.965,252.7552448,0.1,252,253,252,,
1,18,"None","B",11,154,0.9286,252.4177489,0.4,253,253,250,,
1,18,"None","B",12,152,0.9145,252.2105263,0.8,253,252,250,,
1,18,"None","B",13,146,0.9315,252.086758,0.1,252,252,250,,
1,18,"None","B",14,146,0.9315,252.4908676,0,252,253,251,,
1,18,"None","B",15,130,0.9538,252.5564103,0.5,253,252,251,,
1,18,"None","B",16,130,0.9462,252.1205128,0.2,252,252,251,,
1,18,"None","B",17,167,0.9281,250.3692615,0.6,251,251,248,,
1,18,"None","B",18,164,0.939,252.2012195,0.7,253,253,249,,
1,18,"None","B",19,160,0.9188,252.44375,0.9,253,253,250,,
1,18,"None","B",20,170,0.9353,251.5901961,0.9,253,252,248,,
1,18,"None","B",21,143,0.8951,251.8251748,0.9,253,252,249,,
1,18,"None","B",22,152,0.9079,252.247807,1.2,253,252,250,,
1,18,"None","B",23,182,0.9505,252.1300366,1.3,253,253,249,,
1,18,"None","B",24,233,0.9227,252.2775393,0.9,253,253,249,,
1,18,"None","C",1,219,0.9315,252.5920852,0.3,253,253,250,,
1,18,"None","C",2,177,0.9379,252.3898305,0.1,253,253,250,,
1,18,"None","C",3,122,0.8934,252.557377,-0.4,252,253,251,,
1,18,"None","C",4,116,0.8793,252.7385057,0.2,253,253,251,,
1,18,"None","C",5,135,0.8889,252.2345679,0.2,253,253,250,,
1,18,"None","C",6,132,0.9697,252.4671717,0.3,253,253,250,,
1,18,"None","C",7,133,0.985,252.3734336,0.1,252,253,250,,
1,18,"None","C",8,136,0.9559,252.5318627,0.3,253,253,251,,
1,18,"None","C",9,132,0.9697,252.6035354,0.1,253,253,251,,
1,18,"None","C",10,136,0.9485,252.754902,0.4,253,253,251,,
1,18,"None","C",11,63,0.9524,251.989418,-1,251,252,251,,
1,18,"None","C",12,91,0.9011,252.6117216,-0.1,252,252,252,,
1,18,"None","C",13,193,0.9534,252.5043178,0.2,252,252,251,,
1,18,"None","C",14,191,0.9215,252.9842932,0.5,253,253,252,,
1,18,"None","C",15,116,0.8879,252.8706897,-0.2,252,253,252,,
1,18,"None","C",16,116,0.8966,252.4454023,0.3,252,252,251,,
1,18,"None","C",17,138,0.9203,252.5,0.2,253,253,250,,
1,18,"None","C",18,134,0.9403,252.4054726,0.3,253,253,250,,
1,18,"None","C",19,139,0.8993,252.6882494,0.2,253,253,251,,
1,18,"None","C",20,133,0.9323,250.5137845,0.2,251,251,248,,
1,18,"None","C",21,134,0.9254,252.0597015,0.8,253,253,249,,
1,18,"None","C",22,151,0.9073,252.3576159,1,253,253,249,,
1,18,"None","C",23,8,0.875,251.25,0,251,251,251,,
1,18,"None","C",24,13,0.7692,249.4102564,0.3,250,251,246,,
1,18,"None","D",1,197,0.9543,252.4923858,0.5,253,253,250,,
1,18,"None","D",2,166,0.9819,252.1024096,0.2,253,253,249,,
1,18,"None","D",3,117,0.8889,252.4216524,-0.2,252,253,251,,
1,18,"None","D",4,109,0.9541,252.9480122,-0.3,252,253,252,,
1,18,"None","D",5,135,1,252.5160494,0.5,253,253,250,,
1,18,"None","D",6,130,0.9462,252.5717949,0.4,253,253,250,,
1,18,"None","D",7,134,0.903,252.8134328,0,253,253,251,,
1,18,"None","D",8,136,0.9412,252.6617647,0.3,253,253,251,,
1,18,"None","D",9,125,0.912,252.4853333,0.2,253,253,250,,
1,18,"None","D",10,129,0.9535,252.8372093,0,253,253,252,,
1,18,"None","D",11,98,0.8776,252.7891156,-0.8,252,253,252,,
1,18,"None","D",12,95,0.9053,252.5824561,-0.7,252,252,252,,
1,18,"None","D",13,185,0.9676,252.7099099,0.1,253,253,251,,
1,18,"None","D",14,189,0.9365,252.8871252,0,253,253,252,,
1,18,"None","D",15,116,0.8793,253.2011494,-0.5,253,253,252,,
1,18,"None","D",16,126,0.9524,252.8465608,0,253,253,252,,
1,18,"None","D",17,149,0.8926,252.4205817,0.5,253,253,250,,
1,18,"None","D",18,140,0.9143,252.747619,0.4,253,253,250,,
1,18,"None","D",19,132,0.9242,252.5606061,0.7,253,253,250,,
1,18,"None","D",20,132,0.9318,252.3409091,0.7,253,253,250,,
1,18,"None","D",21,141,0.9149,252,0.7,253,253,249,,
1,18,"None","D",22,154,0.9156,252.0735931,0.8,253,253,249,,
1,18,"None","D",23,9,0.8889,250.0740741,0.3,250,250,248,,
1,18,"None","D",24,14,0.7143,250.8095238,0.1,252,252,247,,
1,18,"None","E",1,144,0.9653,251.9675926,0,252,253,249,,
1,18,"None","E",2,126,0.9921,251.9444444,-0.1,252,253,249,,
1,18,"None","E",3,110,0.8818,251.0545455,1.3,253,253,246,,
1,18,"None","E",4,77,0.8701,249.1385281,2.9,253,252,241,,
1,18,"None","E",5,148,0.9595,252.5585586,0.2,253,253,250,,
1,18,"None","E",6,150,0.9,252.3266667,0.2,253,253,250,,
1,18,"None","E",7,136,0.9559,252.3284314,0,252,253,250,,
1,18,"None","E",8,138,0.942,252.4251208,0.2,253,253,251,,
1,18,"None","E",9,97,0.9175,252.2920962,0.1,252,252,251,,
1,18,"None","E",10,99,0.899,252.3872054,0.2,252,253,251,,
1,18,"None","E",11,145,0.9241,252.9402299,0.7,253,253,251,,
1,18,"None","E",12,147,0.9048,252.276644,0.5,252,252,251,,
1,18,"None","E",13,97,0.8866,252.5189003,-0.5,252,253,252,,
1,18,"None","E",14,99,0.9495,252.2457912,0.6,253,252,250,,
1,18,"None","E",15,39,0.8462,252.1538462,-0.5,252,252,251,,
1,18,"None","E",16,42,0.9762,245.2777778,-0.2,245,245,244,,
1,18,"None","E",17,38,0.9211,251.5526316,0,252,252,249,,
1,18,"None","E",18,31,0.9355,252.0537634,-0.7,252,253,250,,
1,18,"None","E",19,137,0.9124,252.2019465,0.3,253,253,250,,
1,18,"None","E",20,137,0.9124,251.7810219,0.7,253,253,249,,
1,18,"None","E",21,74,0.8784,252.0720721,0.7,253,253,249,,
1,18,"None","E",22,86,0.8953,251.6472868,0.7,253,253,248,,
1,18,"None","E",23,188,0.9309,252.4078014,1.1,253,253,250,,
1,18,"None","E",24,235,1,252.2425532,0.9,253,253,249,,
1,18,"None","F",1,146,0.9384,252.2328767,0.4,253,253,250,,
1,18,"None","F",2,113,0.8761,252.2654867,-0.2,252,253,250,,
1,18,"None","F",3,81,0.9383,248.9711934,3.2,253,253,239,,
1,18,"None","F",4,82,0.9756,249.4918699,3.1,254,252,241,,
1,18,"None","F",5,154,0.9351,252.2099567,0.5,253,253,250,,
1,18,"None","F",6,156,0.891,252.0641026,0.3,252,253,250,,
1,18,"None","F",7,140,0.9429,252.552381,0.1,253,253,250,,
1,18,"None","F",8,145,0.9448,251.9448276,0.3,252,252,250,,
1,18,"None","F",9,94,0.9255,251.8687943,-0.4,252,252,250,,
1,18,"None","F",10,88,0.8864,253.0189394,-0.1,253,253,252,,
1,18,"None","F",11,147,0.898,252.2630385,1.1,253,251,251,,
1,18,"None","F",12,142,0.9155,252.4671362,0.9,253,252,252,,
1,18,"None","F",13,158,0.9747,252.6603376,0.8,253,252,252,,
1,18,"None","F",14,104,0.9423,251.9358974,0.2,252,252,251,,
1,18,"None","F",15,37,0.8378,252.7387387,-1.6,251,253,252,,
1,18,"None","F",16,41,0.9756,251.9918699,-2.1,251,253,251,,
1,18,"None","F",17,34,0.9412,251.8431373,-0.2,252,253,249,,
1,18,"None","F",18,32,0.9688,251.9791667,0.1,252,253,250,,
1,18,"None","F",19,137,0.9124,252.2725061,0.6,253,253,250,,
1,18,"None","F",20,132,0.9242,250.0530303,0.6,251,251,248,,
1,18,"None","F",21,75,0.8533,251.3377778,0.3,252,252,248,,
1,18,"None","F",22,79,0.8861,251.7468354,0.2,252,253,249,,
1,18,"None","F",23,177,0.9096,252.2542373,0.6,253,253,249,,
1,18,"None","F",24,211,0.9763,250.8041074,0.4,252,252,247,,
1,18,"None","G",1,209,0.9378,252.3556619,0.4,253,253,250,,
1,18,"None","G",2,173,0.948,252.2061657,0.6,253,253,250,,
1,18,"None","G",3,100,0.93,252.05,-0.3,252,252,251,,
1,18,"None","G",4,99,0.8889,252.5690236,0.2,253,253,251,,
1,18,"None","G",5,132,0.9167,252.459596,0.4,253,253,250,,
1,18,"None","G",6,135,0.8963,252.0246914,0.5,253,253,250,,
1,18,"None","G",7,0,0,0,0,0,0,0,,
1,18,"None","G",8,0,0,0,0,0,0,0,,
1,18,"None","G",9,158,0.943,252.2552743,0.6,253,253,250,,
