"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,76,"None","A",1,288,0.9549,235.53125,1.7,238,238,229,,
1,76,"None","A",2,289,0.9377,243.0023068,0.9,245,245,238,,
1,76,"None","A",3,335,0.9552,236.5502488,1.3,239,239,231,,
1,76,"None","A",4,314,0.9045,248.4012739,1.2,250,250,243,,
1,76,"None","A",5,266,0.9549,246.1817043,1.3,248,248,241,,
1,76,"None","A",6,267,0.9625,247.2409488,0.9,249,249,243,,
1,76,"None","A",7,230,0.9391,246.5811594,0.6,248,248,242,,
1,76,"None","A",8,256,0.9336,248.1653646,0.4,249,250,244,,
1,76,"None","A",9,257,0.9416,251.1789883,0.4,252,253,247,,
1,76,"None","A",10,253,0.9407,246.1422925,0.9,247,247,242,,
1,76,"None","A",11,242,0.9339,249.0137741,0.7,250,250,245,,
1,76,"None","A",12,233,0.9785,248.8655222,0.8,250,250,245,,
1,76,"None","A",13,266,0.9211,252.3684211,0.6,253,253,249,,
1,76,"None","A",14,214,0.9766,247.3987539,0.9,249,249,243,,
1,76,"None","A",15,323,0.969,247.5190918,0.7,249,249,244,,
1,76,"None","A",16,292,0.9589,249.5319635,0.6,251,251,245,,
1,76,"None","A",17,274,0.9526,246.3479319,1,248,248,242,,
1,76,"None","A",18,265,0.9321,245.2503145,1.2,247,247,240,,
1,76,"None","A",19,243,0.9383,246.3292181,1.6,248,248,241,,
1,76,"None","A",20,218,0.9541,245.9051988,1.5,248,248,241,,
1,76,"None","A",21,225,0.9422,243.5777778,1.6,246,246,238,,
1,76,"None","A",22,214,0.9673,244.4485981,1.6,247,247,239,,
1,76,"None","A",23,171,0.9532,245.6510721,1.1,248,248,240,,
1,76,"None","A",24,237,0.9451,243.9803094,1.9,247,246,238,2,
1,76,"None","B",1,320,0.9406,241.86875,1.2,244,244,236,,
1,76,"None","B",2,188,0.8883,236.5053191,1,238,239,231,,
1,76,"None","B",3,251,0.9363,245.2164675,1.1,247,248,239,,
1,76,"None","B",4,221,0.9683,243.5912519,1.3,246,246,238,,
1,76,"None","B",5,212,0.9104,245.7751572,0.7,247,248,241,,
1,76,"None","B",6,210,0.9571,245.9142857,0.7,247,248,241,,
1,76,"None","B",7,192,0.901,245.5954861,0.4,247,247,242,,
1,76,"None","B",8,190,0.9316,244.0368421,0.5,245,246,240,,
1,76,"None","B",9,196,0.8878,249.2534014,0.5,250,251,245,,
1,76,"None","B",10,196,0.9031,245.6479592,0.6,247,247,241,,
1,76,"None","B",11,191,0.9162,249.425829,0.5,251,251,245,,
1,76,"None","B",12,190,0.9158,245.5859649,0.7,247,247,242,,
1,76,"None","B",13,160,0.925,245.4916667,1,247,247,241,,
1,76,"None","B",14,160,0.9313,245.88125,0.3,247,247,242,,
1,76,"None","B",15,244,0.9303,244.8565574,0.5,246,246,241,,
1,76,"None","B",16,231,0.9307,247.4213564,0.6,249,249,243,,
1,76,"None","B",17,211,0.91,244.5134281,1.2,246,246,240,,
1,76,"None","B",18,213,0.9718,243.4726135,1.6,245,245,238,,
1,76,"None","B",19,191,0.9319,243.5026178,1.2,246,246,238,,
1,76,"None","B",20,169,0.9704,247.0552268,1.5,249,249,241,,
1,76,"None","B",21,199,0.8844,237.1423786,1.6,240,240,230,,
1,76,"None","B",22,174,0.9195,232.4444444,1.8,235,235,226,,
1,76,"None","B",23,164,0.9268,243.4004065,2,246,246,236,,
1,76,"None","B",24,196,0.8776,226.5289116,1.7,229,229,220,,
1,76,"None","C",1,214,0.9299,240.7492212,1.4,243,243,235,,
1,76,"None","C",2,202,0.9554,237.4438944,1.3,240,240,231,,
1,76,"None","C",3,200,0.91,237.6316667,1.1,240,240,232,,
1,76,"None","C",4,190,0.9474,247.4298246,1.3,250,250,242,,
1,76,"None","C",5,140,0.95,247.8833333,0.7,250,250,242,,
1,76,"None","C",6,131,0.9237,251.8117048,1,254,254,247,,
1,76,"None","C",7,186,0.9301,249.3261649,0.8,251,251,245,,
1,76,"None","C",8,192,0.9375,248.1857639,1,250,249,244,,
1,76,"None","C",9,167,0.9641,248.6267465,0.9,250,250,244,,
1,76,"None","C",10,180,0.9111,249.2074074,0.4,250,251,245,,
1,76,"None","C",11,176,0.9261,249.1837121,0.7,250,251,245,,
1,76,"None","C",12,185,0.9081,247.8558559,0.9,249,250,243,,
1,76,"None","C",13,156,0.8718,251.8205128,0.5,253,254,247,,
1,76,"None","C",14,170,0.9588,244.327451,0.5,246,246,240,,
1,76,"None","C",15,190,0.9158,247.8526316,0.9,249,249,243,,
1,76,"None","C",16,190,0.9105,245.1140351,0.6,247,247,240,,
1,76,"None","C",17,141,0.8794,246.1229314,1.3,248,248,241,,
1,76,"None","C",18,142,0.9366,235.3380282,1.1,237,238,230,,
1,76,"None","C",19,188,0.9255,244.8156028,1.5,247,247,239,,
1,76,"None","C",20,172,0.9593,247.0135659,1.5,249,249,241,,
1,76,"None","C",21,168,0.9524,243.1706349,1.5,246,246,236,,
1,76,"None","C",22,152,0.9276,237.5811404,1.9,240,240,231,,
1,76,"None","C",23,174,0.9483,226.848659,1.3,229,229,221,,
1,76,"None","C",24,182,0.8956,247.2802198,2,250,249,241,,
1,76,"None","D",1,219,0.9361,237.5098935,1.3,240,240,231,,
1,76,"None","D",2,163,0.9141,239,1.2,241,241,233,2,
1,76,"None","D",3,194,0.9124,238.1116838,1.1,240,241,232,,
1,76,"None","D",4,176,0.9318,239.9185606,1.1,242,242,235,,
1,76,"None","D",5,131,0.9542,251.1933842,1.3,253,253,245,,
1,76,"None","D",6,128,0.8984,249.421875,1.3,252,252,244,,
1,76,"None","D",7,176,0.9602,251.8806818,0.6,253,254,247,,
1,76,"None","D",8,178,0.927,244.8183521,0.7,246,246,241,,
1,76,"None","D",9,154,0.9416,243.4480519,0.9,245,245,239,,
1,76,"None","D",10,157,0.9299,251.6496815,0.6,253,253,247,,
1,76,"None","D",11,167,0.976,245.9161677,0.7,247,247,242,,
1,76,"None","D",12,159,0.9308,250.1761006,0.3,251,252,246,,
1,76,"None","D",13,151,0.8808,240.0573951,0.5,241,242,236,,
1,76,"None","D",14,149,0.953,241.590604,0.8,243,243,237,,
1,76,"None","D",15,178,0.9663,248.7958801,1.2,251,251,244,,
1,76,"None","D",16,160,0.9188,247.2104167,0.7,249,249,243,,
1,76,"None","D",17,127,0.937,248.9580052,1,251,251,243,,
1,76,"None","D",18,127,0.9528,239.1496063,1.4,241,241,233,,
1,76,"None","D",19,175,0.9029,231.2057143,1.1,233,233,226,,
1,76,"None","D",20,158,0.9557,243.4303797,1.2,246,246,238,,
1,76,"None","D",21,158,0.9367,239.8291139,1.7,242,242,233,,
1,76,"None","D",22,145,0.9172,238.7195402,2,241,241,232,,
1,76,"None","D",23,160,0.9438,241.5125,1.9,244,244,235,,
1,76,"None","D",24,179,0.9218,239.972067,1.7,243,242,233,,
1,76,"None","E",1,249,0.8956,241.4578313,1.4,244,244,236,,
1,76,"None","E",2,207,0.9227,240.3977456,1.5,243,242,235,,
1,76,"None","E",3,150,0.9267,246.0311111,1.2,248,248,240,,
1,76,"None","E",4,128,0.8906,237.6302083,1,239,240,233,,
1,76,"None","E",5,167,0.9401,248.4870259,1.2,250,250,244,2,
1,76,"None","E",6,168,0.9286,247.0813492,0.8,249,249,242,,
1,76,"None","E",7,134,0.9104,244.2661692,0.6,245,246,240,,
1,76,"None","E",8,122,0.8934,243.6967213,0.7,245,245,239,,
1,76,"None","E",9,142,0.9014,241.028169,0.3,242,243,237,,
1,76,"None","E",10,144,0.9444,242.8449074,0.4,244,244,239,,
1,76,"None","E",11,158,0.9367,245.5443038,0.5,247,247,241,,
1,76,"None","E",12,169,0.9822,247.1459566,1.2,249,249,243,,
1,76,"None","E",13,163,0.9448,239.396728,1.2,241,241,235,,
1,76,"None","E",14,160,0.9188,243.81875,0.9,245,245,239,,
1,76,"None","E",15,127,0.9449,247.503937,1,249,249,243,,
1,76,"None","E",16,129,0.9612,245.6770026,0.8,247,247,241,,
1,76,"None","E",17,166,0.9036,247.0742972,0.9,249,249,242,,
1,76,"None","E",18,157,0.9108,238.5116773,1.1,240,240,233,,
1,76,"None","E",19,149,0.8993,237.9060403,1.1,240,240,233,,
1,76,"None","E",20,155,0.8968,236.6989247,1.3,239,239,231,,
1,76,"None","E",21,151,0.8874,230.8101545,1.3,233,233,224,,
1,76,"None","E",22,112,0.8929,237.7232143,1.7,240,240,232,,
1,76,"None","E",23,163,0.9325,246.2515337,1.9,249,249,239,,
1,76,"None","E",24,203,0.9261,238.6748768,2.1,242,241,232,,
1,76,"None","F",1,206,0.9466,249.0226537,1.1,251,251,243,2,
1,76,"None","F",2,192,0.9219,242.2725694,1.3,244,244,237,,
1,76,"None","F",3,133,0.9699,226.5238095,1,228,229,221,,
1,76,"None","F",4,115,0.887,235.9826087,1.3,238,238,231,,
1,76,"None","F",5,154,0.9026,249.7294372,0.8,251,252,244,,
1,76,"None","F",6,161,0.913,250.320911,0.7,252,252,246,,
1,76,"None","F",7,136,0.9118,247.6519608,0.8,249,250,243,,
1,76,"None","F",8,135,0.8741,245.9851852,0.9,247,248,241,,
1,76,"None","F",9,165,0.9515,243.9292929,1,245,245,240,,
1,76,"None","F",10,135,0.9407,244.2271605,0.4,245,246,240,,
1,76,"None","F",11,168,0.9048,247.577381,1,249,249,243,,
1,76,"None","F",12,171,0.9708,245.9707602,1.2,247,247,242,,
1,76,"None","F",13,164,0.9634,242.4735772,1,244,244,239,,
1,76,"None","F",14,158,0.943,245.3396624,1,247,247,241,,
1,76,"None","F",15,126,0.9444,247.4047619,0.6,249,249,243,,
1,76,"None","F",16,127,0.9213,247.5144357,0.7,249,250,242,,
1,76,"None","F",17,165,0.9515,242.1212121,0.7,244,244,237,,
1,76,"None","F",18,158,0.9114,244.871308,1,247,247,239,,
1,76,"None","F",19,151,0.894,243.0154525,1.1,245,245,237,,
1,76,"None","F",20,162,0.9568,238.9794239,1.2,241,241,233,,
1,76,"None","F",21,141,0.8865,242.1371158,1.5,245,245,235,,
1,76,"None","F",22,147,0.8912,233.3265306,2.1,237,236,226,,
1,76,"None","F",23,151,0.8874,236.1655629,1.8,239,239,229,,
1,76,"None","F",24,161,0.8944,238.7619048,1.7,241,241,232,,
1,76,"None","G",1,236,0.9492,236.2330508,1.2,238,239,230,,
1,76,"None","G",2,196,0.9286,242.3554422,1.6,245,245,236,,
1,76,"None","G",3,171,0.9825,236.4210526,1.2,239,239,230,,
1,76,"None","G",4,155,0.9161,244.8301075,1.1,247,247,239,,
1,76,"None","G",5,145,0.9241,247.7172414,0.9,250,250,242,,
1,76,"None","G",6,139,0.9496,248.17506,1.1,250,250,243,,
1,76,"None","G",7,139,0.9209,250.0623501,0.9,252,252,245,,
1,76,"None","G",8,148,0.9054,248.5022523,0.5,250,250,244,,
1,76,"None","G",9,179,0.9665,247.4394786,0.7,249,249,243,,
1,76,"None","G",10,178,0.8989,244.8689139,0.5,246,246,241,,
1,76,"None","G",11,152,0.8487,248.7653509,1.2,250,250,244,,
1,76,"None","G",12,159,0.8868,248.8008386,1.1,250,250,244,,
1,76,"None","G",13,163,0.9202,250.204499,1.2,252,252,246,,
1,76,"None","G",14,160,0.9063,242.65625,1.2,244,244,239,,
1,76,"None","G",15,144,0.9306,246.6527778,1.4,249,248,242,,
1,76,"None","G",16,142,0.9225,240.9953052,0.9,243,243,236,,
1,76,"None","G",17,130,0.9308,241.4897436,1.1,244,244,235,,
1,76,"None","G",18,135,0.8963,245.6123457,1.2,248,248,240,,
1,76,"None","G",19,145,0.8966,241.0735632,1.6,243,243,235,,
1,76,"None","G",20,146,0.9041,247.6575342,1.3,250,250,241,,
1,76,"None","G",21,134,0.9403,247.318408,1.6,250,250,240,,
1,76,"None","G",22,154,0.8896,249.3095238,1.7,252,252,242,,
1,76,"None","G",23,154,0.9026,241.3225108,1.8,244,244,235,,
1,76,"None","G",24,170,0.9235,248.3666667,1.9,251,251,241,,
1,76,"None","H",1,235,0.9277,243.777305,0.9,246,246,238,,
1,76,"None","H",2,195,0.9333,242.565812,1,244,245,237,,
1,76,"None","H",3,164,0.9207,245.195122,1.4,247,247,239,,
1,76,"None","H",4,158,0.8861,246.4915612,0.9,248,249,241,,
1,76,"None","H",5,146,0.8904,248.0273973,1,250,250,243,,
1,76,"None","H",6,141,0.8936,251.4751773,1.1,253,254,246,,
1,76,"None","H",7,144,0.9028,244.7708333,1,246,247,240,,
1,76,"None","H",8,145,0.9034,246.5356322,0.8,248,248,242,,
1,76,"None","H",9,173,0.9538,247.5240848,1,249,249,243,,
1,76,"None","H",10,187,0.9144,249.1033868,0.9,250,250,245,,
1,76,"None","H",11,160,0.9625,248.6645833,1.1,250,250,244,,
1,76,"None","H",12,162,0.9568,250.4711934,0.6,252,252,246,,
1,76,"None","H",13,166,0.9157,242.9317269,0.5,244,244,239,,
1,76,"None","H",14,164,0.9207,242.6605691,1.1,244,244,239,,
1,76,"None","H",15,153,0.8758,248.7015251,0.5,250,250,245,,
1,76,"None","H",16,145,0.8759,249.9241379,1.2,252,252,245,,
1,76,"None","H",17,117,0.9231,247.1225071,0.7,249,249,242,,
1,76,"None","H",18,124,0.9274,247.405914,1,249,249,242,,
1,76,"None","H",19,162,0.9198,235.9855967,1.1,238,238,230,,
1,76,"None","H",20,157,0.8854,241.581741,1.4,244,244,235,,
1,76,"None","H",21,151,0.9205,236.0573951,1,238,239,230,,
1,76,"None","H",22,136,0.9706,242.0931373,0.9,244,244,237,,
1,76,"None","H",23,136,0.9485,243.997549,1.2,246,246,239,,
1,76,"None","H",24,198,0.8939,238.2457912,1.9,241,241,231,,
1,76,"None","I",1,165,0.8909,242.2323232,1.2,244,245,236,,
1,76,"None","I",2,154,0.8896,241.3939394,1.1,244,244,235,,
1,76,"None","I",3,194,0.9227,242.5429553,0.7,244,244,238,,
1,76,"None","I",4,184,0.9674,248.7210145,0.7,250,251,244,,
1,76,"None","I",5,165,0.903,249.8060606,1,252,252,245,,
1,76,"None","I",6,160,0.95,248.6208333,1.2,250,250,244,,
1,76,"None","I",7,132,0.9545,247.6464646,1.3,249,249,243,,
1,76,"None","I",8,128,0.9219,247.6119792,1.4,249,249,243,,
1,76,"None","I",9,129,0.907,243.6821705,1.2,245,245,239,,
