"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,14,"None","A",1,430,0.9837,252.3395349,0.7,253,253,249,,
1,14,"None","A",2,350,0.98,252.3390476,0.6,253,253,250,,
1,14,"None","A",3,257,0.9494,252.0518807,0.3,253,253,249,,
1,14,"None","A",4,257,0.9183,252.0713359,0.2,253,253,249,,
1,14,"None","A",5,259,0.9537,252.0862291,0.3,253,253,249,,
1,14,"None","A",6,248,0.9637,251.7876344,0.4,253,253,248,,
1,14,"None","A",7,233,0.9785,251.7482117,0.3,252,253,249,,
1,14,"None","A",8,307,0.9349,252.6210641,0.4,253,253,250,,
1,14,"None","A",9,305,0.9738,252.4437158,0.3,253,253,250,,
1,14,"None","A",10,242,0.9669,252.1033058,0.6,253,253,249,,
1,14,"None","A",11,280,0.9643,252.2904762,0.6,253,253,250,,
1,14,"None","A",12,277,0.9386,252.5415162,0.4,253,253,250,,
1,14,"None","A",13,216,0.9444,252.3302469,0.7,253,253,250,,
1,14,"None","A",14,220,0.9318,251.8363636,0.7,253,253,249,,
1,14,"None","A",15,319,0.9906,252.2173459,0.4,253,253,250,,
1,14,"None","A",16,310,0.9677,252.4516129,0.4,253,253,250,,
1,14,"None","A",17,229,0.9432,251.6812227,0.3,252,253,248,,
1,14,"None","A",18,236,0.9492,251.4646893,1,253,253,247,,
1,14,"None","A",19,236,0.9831,252.1440678,1.1,253,253,249,,
1,14,"None","A",20,309,0.9579,252.0161812,0.8,253,253,248,,
1,14,"None","A",21,247,0.9393,251.268556,0.8,253,253,247,,
1,14,"None","A",22,301,0.9502,251.7043189,1.3,253,253,247,,
1,14,"None","A",23,337,0.9763,251.9525223,0.8,253,253,248,,
1,14,"None","A",24,368,0.9538,251.9085145,1,253,253,248,,
1,14,"None","B",1,363,0.9339,252.0220386,0.6,253,253,249,,
1,14,"None","B",2,281,0.9715,252.0996441,0.5,253,253,249,,
1,14,"None","B",3,209,0.9809,252.0637959,0.3,253,253,249,,
1,14,"None","B",4,204,0.902,251.880719,0.3,252,253,249,,
1,14,"None","B",5,204,0.9314,251.9264706,0.5,253,253,248,,
1,14,"None","B",6,203,0.9015,252.0213465,0.3,253,253,249,,
1,14,"None","B",7,196,0.9235,251.9489796,0.4,252,253,249,,
1,14,"None","B",8,246,0.939,251.7723577,0.2,252,253,249,,
1,14,"None","B",9,196,0.9235,251.9115646,0.3,252,253,249,,
1,14,"None","B",10,194,0.9175,252.0189003,0.3,253,253,249,,
1,14,"None","B",11,230,0.9565,252.1869565,0.3,253,253,249,,
1,14,"None","B",12,235,0.9532,252.0411348,0.5,253,252,250,,
1,14,"None","B",13,188,0.9415,251.6914894,0.6,252,252,249,,
1,14,"None","B",14,181,0.9282,252.0423573,0.5,253,253,249,,
1,14,"None","B",15,247,0.9514,251.9163293,0.3,252,253,249,,
1,14,"None","B",16,245,0.9347,252.0285714,0.4,253,253,249,,
1,14,"None","B",17,189,0.8942,251.4726631,0.3,252,253,248,,
1,14,"None","B",18,190,0.9,251.6596491,0.9,253,253,248,,
1,14,"None","B",19,210,0.9619,251.6968254,1.4,253,253,247,,
1,14,"None","B",20,197,0.8985,251.2182741,1.5,253,252,247,,
1,14,"None","B",21,205,0.9512,251.3089431,1.6,253,252,247,,
1,14,"None","B",22,212,0.934,251.3128931,1.6,253,253,247,,
1,14,"None","B",23,264,0.9583,251.3598485,1.3,253,253,247,,
1,14,"None","B",24,325,0.9477,251.3476923,1.3,253,253,247,,
1,14,"None","C",1,271,0.952,251.99877,0.6,253,253,249,,
1,14,"None","C",2,217,0.977,251.4854071,0.5,252,253,248,,
1,14,"None","C",3,185,0.9189,251.5459459,0.6,252,253,248,,
1,14,"None","C",4,180,0.9167,251.887037,0.6,253,253,249,,
1,14,"None","C",5,184,0.8967,252.0688406,0.2,253,253,249,,
1,14,"None","C",6,183,0.9508,251.4772313,0.4,252,253,248,,
1,14,"None","C",7,120,0.9583,252.1444444,0.2,253,253,249,,
1,14,"None","C",8,120,0.9167,251.7305556,0.1,252,253,248,,
1,14,"None","C",9,177,0.9605,251.6403013,0.2,252,253,248,,
1,14,"None","C",10,156,0.9231,252.1153846,0.3,253,253,249,,
1,14,"None","C",11,124,0.9355,251.7419355,-0.2,252,253,249,,
1,14,"None","C",12,121,0.9339,251.5647383,-0.1,252,253,248,,
1,14,"None","C",13,195,0.8974,252.2700855,0.2,253,253,249,,
1,14,"None","C",14,190,0.8947,252.0350877,0.1,253,253,249,,
1,14,"None","C",15,172,0.9302,251.7790698,-0.2,252,253,249,,
1,14,"None","C",16,169,0.9408,252.0335306,0.3,253,253,249,,
1,14,"None","C",17,167,0.9401,251.5888224,0.4,252,253,248,,
1,14,"None","C",18,159,0.9245,251.6436059,0.4,253,253,248,,
1,14,"None","C",19,205,0.9415,251.796748,1.1,253,253,248,,
1,14,"None","C",20,187,0.893,251.6327986,0.7,253,253,247,,
1,14,"None","C",21,137,0.8759,251.0024331,1,253,253,246,,
1,14,"None","C",22,140,0.8714,251.0642857,1.2,253,253,246,,
1,14,"None","C",23,158,0.9684,251.0084388,1.6,253,253,245,,
1,14,"None","C",24,196,0.898,250.914966,1.2,253,253,245,,
1,14,"None","D",1,294,0.9592,251.8718821,0.6,253,253,248,,
1,14,"None","D",2,229,0.917,251.6244541,0.6,253,253,248,,
1,14,"None","D",3,176,0.9432,251.4147727,0.5,252,253,248,,
1,14,"None","D",4,175,0.9886,251.6952381,0.6,252,252,249,,
1,14,"None","D",5,174,0.9253,251.6992337,0.4,252,253,249,,
1,14,"None","D",6,174,0.9713,251.4731801,0,252,253,248,,
1,14,"None","D",7,120,0.9333,251.8527778,0.3,253,253,249,,
1,14,"None","D",8,136,0.9779,251.8284314,0.7,253,253,249,,
1,14,"None","D",9,158,0.9494,251.5295359,0.3,252,253,248,,
1,14,"None","D",10,146,0.9384,251.8721461,0.3,253,253,249,,
1,14,"None","D",11,117,0.9316,252.3304843,0.4,253,253,249,,
1,14,"None","D",12,118,0.8898,251.6779661,0.3,252,252,249,,
1,14,"None","D",13,188,0.9734,251.677305,0.3,252,253,248,,
1,14,"None","D",14,185,0.973,252.0108108,0.4,253,253,249,,
1,14,"None","D",15,161,0.9627,252.0559006,0.3,253,253,249,,
1,14,"None","D",16,163,0.9509,251.5644172,0.4,252,253,248,,
1,14,"None","D",17,149,0.8993,251.7002237,0.8,253,253,248,,
1,14,"None","D",18,162,0.9568,251.3683128,0.7,252,253,248,,
1,14,"None","D",19,175,0.9371,251.8971429,0.9,253,253,248,,
1,14,"None","D",20,181,0.9669,251.5543278,1,253,253,247,,
1,14,"None","D",21,138,0.8986,250.6135266,0.7,252,253,246,,
1,14,"None","D",22,149,0.9329,250.6263982,1.1,253,253,245,,
1,14,"None","D",23,150,0.9267,250.7,1.7,253,253,245,,
1,14,"None","D",24,187,0.984,251.2691622,1.2,253,253,246,,
1,14,"None","E",1,165,0.9758,251.3313131,0.6,252,253,247,,
1,14,"None","E",2,115,0.8783,251.3217391,0.2,252,253,247,,
1,14,"None","E",3,233,0.9614,251.8340486,0.3,252,253,249,,
1,14,"None","E",4,211,0.9668,251.9225908,0.4,252,253,249,,
1,14,"None","E",5,185,0.9892,251.818018,0.5,252,253,249,,
1,14,"None","E",6,195,0.9077,251.9811966,0.1,252,253,249,,
1,14,"None","E",7,77,0.8701,250.5411255,0.5,252,252,247,2,
1,14,"None","E",8,81,0.8272,250.4773663,0.6,251,252,247,,
1,14,"None","E",9,164,0.9695,251.5121951,0,252,252,249,,
1,14,"None","E",10,162,0.9568,251.7901235,-0.1,252,253,249,,
1,14,"None","E",11,143,0.9231,251.9184149,0.3,253,253,249,,
1,14,"None","E",12,165,0.9333,251.5535354,0.3,252,253,248,,
1,14,"None","E",13,98,0.8878,250.9319728,0.4,252,252,248,,
1,14,"None","E",14,98,0.9694,251.8129252,0.5,252,253,249,,
1,14,"None","E",15,198,0.9495,252.1548822,0.4,253,253,249,,
1,14,"None","E",16,187,0.9572,251.3565062,0.1,252,253,248,,
1,14,"None","E",17,181,0.9448,250.9392265,0.4,252,252,247,,
1,14,"None","E",18,184,0.9402,251.3641304,0.5,252,252,248,,
1,14,"None","E",19,123,0.9187,251.6368564,0.6,253,253,248,,
1,14,"None","E",20,130,0.9462,251.1538462,0.5,252,252,247,,
1,14,"None","E",21,161,0.9627,250.8530021,1.1,252,252,246,,
1,14,"None","E",22,174,0.908,250.5287356,1,252,252,245,,
1,14,"None","E",23,170,0.9118,250.372549,1.7,253,253,244,,
1,14,"None","E",24,296,0.9392,251.1396396,1.5,253,253,246,,
1,14,"None","F",1,150,0.8933,251.1377778,0.5,252,253,247,,
1,14,"None","F",2,117,0.9145,251.045584,0.5,252,253,247,,
1,14,"None","F",3,243,0.9383,251.5761317,0.5,252,253,248,,
1,14,"None","F",4,220,0.9545,251.7393939,0.3,252,253,248,,
1,14,"None","F",5,184,0.9239,251.9347826,0.4,253,253,249,,
1,14,"None","F",6,193,0.9482,252.1139896,0.3,253,253,249,,
1,14,"None","F",7,70,0.8714,251.1380952,0.1,252,253,247,,
1,14,"None","F",8,79,0.8861,250.9156118,0.8,252,252,247,,
1,14,"None","F",9,165,0.9273,251.3272727,0.1,252,252,248,,
1,14,"None","F",10,160,0.9,251.8708333,-0.1,252,253,249,,
1,14,"None","F",11,145,0.8828,251.9195402,1,253,252,250,,
1,14,"None","F",12,147,0.8776,251.6235828,0.6,252,252,249,,
1,14,"None","F",13,104,0.9423,248.7852564,0.4,249,250,246,,
1,14,"None","F",14,102,0.9412,250.9640523,0.7,252,252,248,,
1,14,"None","F",15,205,0.9902,251.4650407,0.1,252,253,248,,
1,14,"None","F",16,201,0.9055,251.7048093,-0.2,252,253,249,,
1,14,"None","F",17,182,0.9396,251.1282051,0.6,252,252,247,,
1,14,"None","F",18,189,0.9153,249.8395062,0.3,251,251,246,,
1,14,"None","F",19,122,0.9098,251.6120219,0.6,253,253,248,,
1,14,"None","F",20,124,0.9597,250.9811828,0.5,252,253,247,,
1,14,"None","F",21,160,0.9563,250.775,1.1,253,253,246,,
1,14,"None","F",22,165,0.9576,250.8040404,1.3,253,253,246,,
1,14,"None","F",23,169,0.9112,250.4911243,1.4,253,253,244,,
1,14,"None","F",24,277,0.935,251.0794224,1.1,253,253,246,,
1,14,"None","G",1,212,0.9717,251.2059748,0.7,253,253,247,,
1,14,"None","G",2,274,0.9599,251.6909976,0.7,253,253,248,,
1,14,"None","G",3,82,0.9024,250.8780488,0.5,252,252,247,,
1,14,"None","G",4,109,0.9633,251.2446483,0,252,253,248,,
1,14,"None","G",5,133,0.985,251.4360902,0.6,252,253,247,,
1,14,"None","G",6,135,0.9481,251.2296296,0.3,252,253,248,,
1,14,"None","G",7,157,0.8726,251.8917197,0.3,253,253,248,,
1,14,"None","G",8,157,0.949,251.2569002,0.3,252,253,248,,
1,14,"None","G",9,211,0.9289,251.7077409,-0.4,252,253,250,,
1,14,"None","G",10,203,0.9015,252.4417077,0.3,253,253,250,,
1,14,"None","G",11,179,0.9385,252.2532588,0.5,253,253,250,,
1,14,"None","G",12,187,0.8984,251.5953654,0.7,252,252,249,,
1,14,"None","G",13,147,0.966,251.6485261,0.6,252,252,250,,
1,14,"None","G",14,153,0.8889,251.4640523,0.2,252,252,249,,
1,14,"None","G",15,148,0.9459,251.5833333,0.3,253,253,247,,
1,14,"None","G",16,149,0.9463,250.8434004,0.3,252,253,246,,
1,14,"None","G",17,129,0.9612,250.6899225,0.3,252,252,247,,
1,14,"None","G",18,128,0.9375,250.9427083,0.2,252,253,247,,
1,14,"None","G",19,149,0.8926,251.4809843,0.8,253,253,247,,
1,14,"None","G",20,146,0.9041,251.2671233,0.9,253,253,246,,
1,14,"None","G",21,195,0.9538,251.157265,1.2,253,253,247,,
1,14,"None","G",22,198,0.9293,251.1734007,1.3,253,253,246,,
1,14,"None","G",23,199,0.9397,250.9899497,1.6,253,253,245,,
1,14,"None","G",24,254,0.9567,250.9199475,1.2,253,253,245,,
1,14,"None","H",1,201,0.9055,251.5257048,0.6,253,253,247,,
1,14,"None","H",2,256,0.9492,251.9036458,0.4,253,253,249,,
1,14,"None","H",3,74,0.8649,250.9279279,0.6,252,252,247,,
1,14,"None","H",4,75,0.9067,250.9866667,0.3,252,252,247,,
1,14,"None","H",5,135,0.9259,251.7925926,0.1,252,253,248,,
1,14,"None","H",6,168,0.9881,251.4861111,0.6,253,253,248,,
1,14,"None","H",7,155,0.9097,252.4172043,0.3,253,253,250,,
1,14,"None","H",8,189,0.9048,251.8077601,0.6,253,253,249,,
1,14,"None","H",9,194,0.9433,251.9828179,0.3,253,253,249,,
1,14,"None","H",10,203,0.936,251.9819376,1.4,253,252,250,,
1,14,"None","H",11,190,0.9105,252.1649123,0.7,253,253,250,,
1,14,"None","H",12,201,0.8905,251.9552239,1.1,253,252,250,,
1,14,"None","H",13,155,0.9419,251.5978495,1,252,252,249,,
1,14,"None","H",14,155,0.8903,251.9247312,0.5,252,252,250,,
1,14,"None","H",15,147,0.9252,251.7097506,1.1,253,253,248,,
1,14,"None","H",16,149,0.9262,251.6621924,0.5,253,253,247,,
1,14,"None","H",17,153,0.902,251.4705882,0.5,252,253,248,,
1,14,"None","H",18,178,0.9326,251.6535581,0.3,252,253,248,,
1,14,"None","H",19,206,0.9272,251.6569579,0.3,252,253,248,,
1,14,"None","H",20,148,0.9257,250.9707207,0.7,252,253,246,,
1,14,"None","H",21,194,0.9485,250.8883162,0.9,252,252,246,,
1,14,"None","H",22,200,0.925,251.0233333,0.8,252,253,246,,
1,14,"None","H",23,201,0.9453,251.0862355,0.9,253,253,246,,
1,14,"None","H",24,261,0.931,250.9297573,1.5,253,253,245,,
1,14,"None","I",1,319,0.9342,251.9205852,0.5,253,253,248,,
1,14,"None","I",2,252,0.9683,251.8677249,0.6,253,253,248,,
1,14,"None","I",3,181,0.9337,251.8895028,0.5,253,253,249,,
1,14,"None","I",4,171,0.9298,251.7134503,0.7,253,253,248,,
1,14,"None","I",5,168,0.9643,251.7202381,0.6,253,253,248,,
1,14,"None","I",6,163,0.9264,251.8629857,0.7,253,253,249,,
1,14,"None","I",7,163,0.9018,251.9120654,0.1,252,253,249,,
1,14,"None","I",8,164,0.939,251.652439,0.8,253,253,248,,
