"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,90,"None","A",1,251,0.9442,252.4435591,0.5,253,253,250,,
1,90,"None","A",2,212,0.934,252.4858491,0.2,253,253,250,,
1,90,"None","A",3,178,0.9157,252.4007491,0.6,253,252,251,,
1,90,"None","A",4,171,0.9825,252.1929825,0.3,253,253,250,,
1,90,"None","A",5,209,0.9522,252.4449761,0.8,253,253,250,,
1,90,"None","A",6,202,0.9455,251.1716172,0.5,252,252,249,,
1,90,"None","A",7,194,0.933,252.4604811,0.9,253,253,250,,
1,90,"None","A",8,197,0.8985,252.4670051,0.4,253,253,250,,
1,90,"None","A",9,171,0.9064,252.4463938,0.8,253,252,250,,
1,90,"None","A",10,177,0.9153,252.6704331,0.6,253,253,250,,
1,90,"None","A",11,180,0.9389,252.4425926,0.7,253,253,250,,
1,90,"None","A",12,167,0.9701,252.4510978,0.9,253,253,250,,
1,90,"None","A",13,171,0.9415,252.251462,0.7,253,253,250,,
1,90,"None","A",14,167,0.9521,252.6706587,0.6,253,253,250,,
1,90,"None","A",15,151,0.9073,252.3355408,0.8,253,253,250,,
1,90,"None","A",16,148,0.9392,252.1981982,0.8,253,253,250,,
1,90,"None","A",17,192,0.9115,250.9513889,0.5,251,251,248,,
1,90,"None","A",18,196,0.898,252.3469388,0.6,253,253,250,,
1,90,"None","A",19,193,0.9067,252.2279793,0.6,253,253,249,,
1,90,"None","A",20,191,0.9476,251.9284468,0.8,253,253,249,,
1,90,"None","A",21,166,0.8976,250.1325301,1.2,251,251,246,,
1,90,"None","A",22,175,0.9657,251.9028571,1.2,253,253,248,,
1,90,"None","A",23,211,0.9242,249.1864139,1.6,251,251,244,,
1,90,"None","A",24,260,0.9577,249.7294872,1.5,252,251,245,,
1,90,"None","B",1,205,0.961,252.2861789,0.5,253,253,250,,
1,90,"None","B",2,160,0.9375,252.6083333,0.2,253,253,250,,
1,90,"None","B",3,144,0.9444,250.5462963,0.5,251,251,248,,
1,90,"None","B",4,129,0.9147,249.9767442,0.3,250,251,247,,
1,90,"None","B",5,170,0.9412,252.5921569,0.2,253,253,250,,
1,90,"None","B",6,165,0.903,252.4444444,0.2,253,253,250,,
1,90,"None","B",7,155,0.9548,252.4645161,0.2,253,253,251,,
1,90,"None","B",8,156,0.891,252.1111111,0.2,252,253,250,,
1,90,"None","B",9,134,0.9776,252.278607,0.2,252,253,250,,
1,90,"None","B",10,141,0.9433,252.3971631,0.2,253,253,250,,
1,90,"None","B",11,151,0.9007,252.2251656,0.4,253,253,249,,
1,90,"None","B",12,149,0.9128,251.8680089,0.5,252,252,250,,
1,90,"None","B",13,140,0.9214,252.2142857,0.4,253,252,250,,
1,90,"None","B",14,142,0.8944,252.4061033,0.3,253,253,250,,
1,90,"None","B",15,123,0.9268,252.504065,0.6,253,253,250,,
1,90,"None","B",16,122,0.9262,252.3333333,0.2,253,253,250,,
1,90,"None","B",17,166,0.8976,251.8654618,0.2,252,253,249,,
1,90,"None","B",18,164,0.9024,252.2439024,0.7,253,253,250,,
1,90,"None","B",19,158,0.8987,252.3797468,0.9,253,253,250,,
1,90,"None","B",20,163,0.9325,250.4458078,0.9,251,251,247,,
1,90,"None","B",21,142,0.9366,251.6901408,1.2,253,252,248,,
1,90,"None","B",22,152,0.9079,251.8903509,1.6,253,253,248,,
1,90,"None","B",23,190,0.9474,251.4631579,1.6,253,253,247,,
1,90,"None","B",24,247,0.8947,251.3873144,1.8,254,253,246,,
1,90,"None","C",1,228,0.9123,252.3099415,0.3,253,253,249,,
1,90,"None","C",2,179,0.9274,252.452514,0.2,253,253,250,,
1,90,"None","C",3,116,0.8966,252.5344828,0.3,253,253,251,,
1,90,"None","C",4,118,0.8983,252.4350282,0.2,252,253,251,,
1,90,"None","C",5,133,0.9398,252.1578947,0.6,253,253,249,,
1,90,"None","C",6,131,0.9084,252.5877863,0.2,253,253,250,,
1,90,"None","C",7,130,0.9923,252.6666667,0.2,253,253,251,,
1,90,"None","C",8,135,0.9704,252.6098765,0.2,253,253,251,,
1,90,"None","C",9,130,0.9,252.3589744,0.2,253,253,250,,
1,90,"None","C",10,132,0.9545,252.6489899,0.2,253,253,251,,
1,90,"None","C",11,62,0.8226,251.7741935,0.1,252,252,250,,
1,90,"None","C",12,92,0.8804,252.1376812,0.1,252,252,250,,
1,90,"None","C",13,186,0.9462,250.9946237,0.6,251,251,249,,
1,90,"None","C",14,184,0.9022,252.9655797,0.5,253,253,251,,
1,90,"None","C",15,113,0.8761,252.5309735,0.5,253,253,251,,
1,90,"None","C",16,115,0.8783,252.4318841,0.2,252,253,251,,
1,90,"None","C",17,135,0.8741,250.6,0.3,251,251,248,,
1,90,"None","C",18,134,0.9254,252.238806,0.3,253,253,249,,
1,90,"None","C",19,137,0.9708,250.7469586,0.2,251,251,248,,
1,90,"None","C",20,131,0.9237,252.2951654,0.5,253,253,250,,
1,90,"None","C",21,132,0.9394,251.4646465,1.3,253,252,248,,
1,90,"None","C",22,152,0.9013,252.0241228,1.1,253,253,249,,
1,90,"None","C",23,7,0.8571,250.952381,0.4,251,250,251,,
1,90,"None","C",24,9,0.5556,250.7037037,0.5,252,252,246,,
1,90,"None","D",1,204,0.902,252.3480392,0.6,253,253,249,,
1,90,"None","D",2,166,0.9277,252.3293173,0.4,253,253,249,,
1,90,"None","D",3,115,0.9043,252.2637681,0.1,252,253,250,,
1,90,"None","D",4,109,0.8899,252.440367,-0.2,252,253,250,,
1,90,"None","D",5,134,0.9254,252.699005,0.4,253,253,250,,
1,90,"None","D",6,130,0.8923,252.4615385,-0.2,253,253,250,,
1,90,"None","D",7,128,0.9688,253.125,0,253,253,252,,
1,90,"None","D",8,139,0.9353,252.4316547,0.3,253,253,251,,
1,90,"None","D",9,125,0.904,252.072,0.4,252,253,250,,
1,90,"None","D",10,126,0.8968,252.7142857,0.1,253,253,250,,
1,90,"None","D",11,96,0.8854,253.0451389,-0.3,252,253,253,,
1,90,"None","D",12,94,0.9149,252.4893617,-0.9,252,253,252,,
1,90,"None","D",13,177,0.9096,252.3370998,0.4,253,253,250,,
1,90,"None","D",14,185,0.8973,252.7495495,0.4,253,253,251,,
1,90,"None","D",15,114,0.9561,252.9795322,0.1,253,253,251,,
1,90,"None","D",16,123,0.9593,252.5501355,0,253,253,251,,
1,90,"None","D",17,146,0.9795,252.1598174,0.5,253,253,249,,
1,90,"None","D",18,139,0.9712,250.7410072,0.6,251,251,248,,
1,90,"None","D",19,126,0.9762,252.5502646,0.8,253,253,250,,
1,90,"None","D",20,130,0.9385,252.0358974,0.7,253,253,249,,
1,90,"None","D",21,136,0.9338,251.745098,0.8,253,253,248,,
1,90,"None","D",22,154,0.9091,251.7337662,1.1,253,253,247,,
1,90,"None","D",23,8,1,251.875,0.1,252,252,251,,
1,90,"None","D",24,14,0.7143,250.5714286,0.2,251,252,247,,
1,90,"None","E",1,143,0.958,251.6620047,1.2,253,253,247,,
1,90,"None","E",2,128,0.9141,249.515625,1,251,251,245,,
1,90,"None","E",3,87,0.931,247.5517241,1.9,250,250,241,,
1,90,"None","E",4,43,0.8837,206.0077519,5.1,213,211,192,,
1,90,"None","E",5,146,0.8973,252.6894977,0.2,253,253,251,,
1,90,"None","E",6,145,0.9034,252.583908,-0.1,253,253,251,,
1,90,"None","E",7,130,0.9846,252.6512821,0.2,253,253,251,,
1,90,"None","E",8,136,0.9559,248.4142157,0.6,249,249,246,,
1,90,"None","E",9,90,0.9,252.2296296,0,252,253,250,,
1,90,"None","E",10,99,0.9091,252.6397306,0.1,253,253,251,,
1,90,"None","E",11,143,0.9231,252.7062937,0.6,253,253,251,,
1,90,"None","E",12,141,0.9574,252.4586288,0.5,253,252,251,,
1,90,"None","E",13,97,1,249.7731959,0.1,250,250,248,,
1,90,"None","E",14,97,0.9794,252.0206186,0,252,253,250,,
1,90,"None","E",15,40,0.85,252.5916667,-0.9,252,253,252,,
1,90,"None","E",16,39,0.7949,245.6068376,0.4,246,246,243,,
1,90,"None","E",17,36,0.9444,251.9444444,-0.2,252,253,249,,
1,90,"None","E",18,33,1,252.2424242,-0.2,252,252,251,,
1,90,"None","E",19,134,0.9179,252.039801,0.7,253,253,249,,
1,90,"None","E",20,128,0.8984,251.8671875,0.5,253,253,249,,
1,90,"None","E",21,76,0.8421,248.4868421,0.8,249,249,246,,
1,90,"None","E",22,83,0.9036,248.9919679,0.9,250,250,245,,
1,90,"None","E",23,189,0.9153,250.4708995,1.5,252,252,246,,
1,90,"None","E",24,239,0.9372,251.8145049,1.4,253,253,247,,
1,90,"None","F",1,148,0.9392,251.7454955,1.1,253,253,248,,
1,90,"None","F",2,109,0.8899,251.7981651,0.4,252,253,249,,
1,90,"None","F",3,32,0.9375,215.03125,5.3,222,221,201,,
1,90,"None","F",4,58,0.8621,203.5747126,5,210,209,190,,
1,90,"None","F",5,148,0.9324,252.5,0.2,253,253,251,,
1,90,"None","F",6,151,0.9536,252.4724062,0.2,253,253,250,,
1,90,"None","F",7,139,0.964,252.3597122,0.1,253,253,250,,
1,90,"None","F",8,144,0.9444,251.5972222,0.4,252,252,249,,
1,90,"None","F",9,90,0.9,249.3333333,-0.3,249,250,248,,
1,90,"None","F",10,90,0.9667,252.4592593,0,252,253,251,,
1,90,"None","F",11,141,0.9716,252.3758865,1.2,253,252,251,,
1,90,"None","F",12,140,0.9786,252.3785714,0.6,252,252,252,,
1,90,"None","F",13,159,0.9182,250.7987421,0.7,251,250,250,,
1,90,"None","F",14,99,0.9495,252.2053872,0.7,252,252,251,,
1,90,"None","F",15,39,0.8462,251.8888889,-1.5,251,252,251,,
1,90,"None","F",16,41,0.9756,251.6585366,-1.5,251,253,250,,
1,90,"None","F",17,35,0.9429,244.3904762,-0.9,244,245,242,,
1,90,"None","F",18,30,0.8333,251.9333333,-0.2,252,253,250,,
1,90,"None","F",19,132,0.9318,250.3005051,0.5,251,251,247,,
1,90,"None","F",20,131,0.916,251.7531807,0.5,253,253,248,,
1,90,"None","F",21,69,0.9565,244.5845411,0.3,245,246,241,,
1,90,"None","F",22,76,0.9079,251.5745614,0.5,252,253,248,,
1,90,"None","F",23,176,0.9091,251.8901515,1.5,254,253,248,,
1,90,"None","F",24,211,0.9763,251.7488152,1.5,253,253,247,,
1,90,"None","G",1,209,0.9856,252.2408293,0.6,253,253,249,,
1,90,"None","G",2,168,0.9226,252.1150794,0.5,253,253,249,,
1,90,"None","G",3,98,0.9286,249.4727891,-0.3,249,250,248,,
1,90,"None","G",4,95,0.8947,249.9754386,-0.6,249,250,248,,
1,90,"None","G",5,132,0.9242,252.1818182,0.6,253,253,250,,
1,90,"None","G",6,133,0.9098,252.0701754,0.7,253,253,249,,
1,90,"None","G",7,0,0,0,0,0,0,0,,
1,90,"None","G",8,0,0,0,0,0,0,0,,
1,90,"None","G",9,157,0.9108,252.3694268,0.2,253,253,250,,
1,90,"None","G",10,151,0.8808,252.4724062,1.3,253,252,251,,
