"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,22,"None","A",1,350,0.9829,252.38,0.6,253,253,250,,
1,22,"None","A",2,253,0.9407,251.9617918,0.3,253,253,249,,
1,22,"None","A",3,247,0.8947,252.1889339,0.5,253,253,249,,
1,22,"None","A",4,245,0.9143,252.2761905,0.5,253,253,250,,
1,22,"None","A",5,231,0.9437,252.3217893,0.3,253,253,249,,
1,22,"None","A",6,242,0.9256,252.4628099,0.2,253,253,250,,
1,22,"None","A",7,282,0.9539,252.4574468,0.3,253,253,250,,
1,22,"None","A",8,296,0.9426,252.5247748,0.4,253,253,250,,
1,22,"None","A",9,233,0.9657,252.2732475,0.4,253,253,250,,
1,22,"None","A",10,236,0.9576,252.3177966,0.5,253,253,249,,
1,22,"None","A",11,236,0.9237,252.4110169,0.6,253,253,250,,
1,22,"None","A",12,233,0.9571,252.5765379,0.4,253,253,250,,
1,22,"None","A",13,222,0.964,252.1711712,0.7,253,253,249,,
1,22,"None","A",14,218,0.9266,252.3287462,1.1,253,253,249,,
1,22,"None","A",15,251,0.9004,252.3266932,0.5,253,253,249,,
1,22,"None","A",16,247,0.8988,252.4075574,0.5,253,253,250,,
1,22,"None","A",17,224,0.9241,252.0758929,1.1,253,253,249,,
1,22,"None","A",18,230,0.9348,251.9217391,0.9,253,253,248,,
1,22,"None","A",19,220,0.9318,250.75,1.2,252,252,247,,
1,22,"None","A",20,227,0.9339,251.6049927,1.1,253,253,247,,
1,22,"None","A",21,240,0.9708,251.4958333,1.4,253,253,247,,
1,22,"None","A",22,248,0.9194,251.5658602,1.4,253,253,247,,
1,22,"None","A",23,259,0.9344,251.7992278,1,253,253,247,,
1,22,"None","A",24,323,0.9443,251.9029928,0.9,253,253,248,,
1,22,"None","B",1,258,0.9767,252.2648579,0.4,253,253,249,,
1,22,"None","B",2,182,0.9066,252.0769231,0.6,253,253,249,,
1,22,"None","B",3,180,0.9111,252.0203704,0.3,253,253,249,,
1,22,"None","B",4,169,0.9763,251.7140039,0.6,253,253,249,,
1,22,"None","B",5,185,0.9405,251.9765766,0.2,252,253,249,,
1,22,"None","B",6,183,0.929,252.2859745,0.7,253,253,249,,
1,22,"None","B",7,239,0.9414,252.4267782,0.2,253,253,250,,
1,22,"None","B",8,227,0.9648,252.4552129,0.2,253,253,250,,
1,22,"None","B",9,194,0.9588,251.9415808,0.3,252,253,249,,
1,22,"None","B",10,185,0.9243,252.2612613,0.2,253,253,249,,
1,22,"None","B",11,194,0.9124,252.5446735,0.6,253,253,250,,
1,22,"None","B",12,197,0.9492,252.0101523,0.1,252,253,250,,
1,22,"None","B",13,180,0.8944,251.5759259,0.6,252,252,248,,
1,22,"None","B",14,172,0.9419,252.1763566,0.2,253,253,249,,
1,22,"None","B",15,199,0.8945,252.2897822,0.7,253,253,250,,
1,22,"None","B",16,196,0.8827,252.4693878,0.1,253,253,250,,
1,22,"None","B",17,188,0.9468,251.8191489,0.3,253,253,248,,
1,22,"None","B",18,187,0.9679,252.0463458,0.3,253,253,249,,
1,22,"None","B",19,186,0.9624,251.8655914,0.5,253,253,248,,
1,22,"None","B",20,186,0.9194,251.9390681,0.4,253,253,248,,
1,22,"None","B",21,204,0.951,251.3464052,1,253,253,247,,
1,22,"None","B",22,209,0.9187,251.4322169,1.2,253,253,247,,
1,22,"None","B",23,223,0.9283,251.4394619,1.5,253,253,247,,
1,22,"None","B",24,273,0.9597,251.4542125,1,253,253,247,,
1,22,"None","C",1,246,0.9065,251.6517615,0.7,253,253,247,,
1,22,"None","C",2,183,0.918,251.7686703,0.8,253,253,248,,
1,22,"None","C",3,144,1,251.8518519,0.2,252,253,249,,
1,22,"None","C",4,152,0.9408,251.745614,0.4,252,253,249,,
1,22,"None","C",5,158,0.943,252.1561181,0.1,253,253,249,,
1,22,"None","C",6,171,0.9942,252.2378168,0.3,253,253,249,,
1,22,"None","C",7,106,0.8868,252.072327,0.3,253,253,249,,
1,22,"None","C",8,129,0.9302,252.1136951,0.4,253,253,249,,
1,22,"None","C",9,127,0.9764,251.8451444,0.4,252,252,249,,
1,22,"None","C",10,152,0.9145,252.5526316,0.2,253,253,250,,
1,22,"None","C",11,126,0.9127,252.1719577,-0.2,252,253,250,,
1,22,"None","C",12,116,0.9483,251.7471264,0.3,252,253,249,,
1,22,"None","C",13,180,0.8833,252.1666667,0.1,253,253,249,,
1,22,"None","C",14,178,0.9326,252.1310861,0,252,253,249,,
1,22,"None","C",15,159,0.9497,252.3647799,0.2,253,253,249,,
1,22,"None","C",16,164,0.9573,251.9227642,0.3,252,253,249,,
1,22,"None","C",17,157,0.9172,251.8004246,0.4,253,253,248,,
1,22,"None","C",18,170,0.9588,252.072549,0.3,253,253,249,,
1,22,"None","C",19,126,0.8968,251.1825397,1.1,253,253,246,,
1,22,"None","C",20,139,0.8993,251.1510791,0.6,253,253,246,,
1,22,"None","C",21,143,0.9371,250.993007,1.1,253,253,246,,
1,22,"None","C",22,153,0.8562,250.8649237,1.2,253,253,245,,
1,22,"None","C",23,148,0.8919,251.2027027,1.3,253,253,246,,
1,22,"None","C",24,188,0.9734,251.2890071,1,253,253,246,,
1,22,"None","D",1,242,0.905,251.630854,0.7,253,253,247,,
1,22,"None","D",2,164,0.9207,251.7073171,0.7,253,253,248,,
1,22,"None","D",3,140,0.9071,251.7047619,0.4,253,253,248,,
1,22,"None","D",4,150,0.9333,252.3911111,0.4,253,253,250,,
1,22,"None","D",5,157,0.9172,252.2420382,0.4,253,253,249,,
1,22,"None","D",6,181,0.9669,252.0331492,0.4,253,253,249,,
1,22,"None","D",7,101,0.901,252.0891089,0.7,253,253,248,,
1,22,"None","D",8,108,0.9167,252.2685185,0,253,253,249,,
1,22,"None","D",9,142,0.9437,251.7816901,0.2,252,253,249,,
1,22,"None","D",10,130,0.9308,252.2871795,0.4,253,253,250,,
1,22,"None","D",11,103,0.8835,252.3074434,0.3,253,253,249,,
