Date,Latitude,Longitude,Country,Gear type,Vessel hour,Fishing hour
1/27/2012,-879,1324,AGO,purse_seines,24.57152778,0
1/27/2012,-4352,-6087,ARG,trawlers,0.790277778,0
1/27/2012,-3840,-5731,ARG,trawlers,0.867361111,0
1/27/2012,-4607,-6619,ARG,fixed_gear,4.523611111,0
1/27/2012,-4607,-6061,ARG,trawlers,1.484861111,0
1/27/2012,-4606,-6072,ARG,squid_jigger,6.474861111,0
1/27/2012,-4606,-6609,ARG,fixed_gear,1.62125,0
1/27/2012,-4606,-6060,ARG,trawlers,0.750972222,0
1/27/2012,-4350,-6125,ARG,trawlers,6.148333333,0
1/27/2012,-4350,-6087,ARG,trawlers,4.553472222,0
1/27/2012,-3838,-5768,ARG,trawlers,5.679583333,0
1/27/2012,-4860,-6533,ARG,trawlers,0.748611111,0
1/27/2012,-4859,-6530,ARG,trawlers,0.085972222,0
1/27/2012,-4859,-6519,ARG,trawlers,4.510416667,0
1/27/2012,-4603,-6608,ARG,fixed_gear,1.575972222,0
1/27/2012,-4603,-6200,ARG,trawlers,0.777777778,0
1/27/2012,-4603,-6601,ARG,fixed_gear,3.823472222,0
1/27/2012,-4603,-6600,ARG,fixed_gear,0.749861111,0
1/27/2012,-4347,-5998,ARG,trawlers,3.2175,0
1/27/2012,-4858,-6528,ARG,trawlers,0.783333333,0
1/27/2012,-4602,-6610,ARG,fixed_gear,1.578055556,0
1/27/2012,-4602,-6200,ARG,trawlers,8.69125,0
1/27/2012,-4602,-6595,ARG,fixed_gear,1.438611111,0
1/27/2012,-4602,-6608,ARG,fixed_gear,0.780277778,0
1/27/2012,-4346,-6399,ARG,trawlers,9.106805556,0
1/27/2012,-4346,-5950,ARG,trawlers,0.789444444,0
1/27/2012,-4346,-5998,ARG,trawlers,0.743194444,0
1/27/2012,-4601,-6604,ARG,fixed_gear,1.446944444,0
1/27/2012,-4601,-6592,ARG,fixed_gear,1.607361111,0
1/27/2012,-4601,-6608,ARG,fixed_gear,0.802638889,0
1/27/2012,-4345,-6399,ARG,trawlers,1.537638889,0
1/27/2012,-3833,-5760,ARG,trawlers,2.20375,0
1/27/2012,-4856,-6500,ARG,trawlers,0.790277778,0
1/27/2012,-4344,-5949,ARG,trawlers,0.795138889,0
1/27/2012,-4088,-5990,ARG,drifting_longlines,5.2625,0
1/27/2012,-4088,-6494,ARG,other_fishing,0.777777778,0
1/27/2012,-4855,-6497,ARG,trawlers,0.779027778,0
1/27/2012,-4599,-6637,ARG,fixed_gear,1.549305556,0
1/27/2012,-4854,-6228,ARG,trawlers,3.777638889,0
1/27/2012,-4597,-6656,ARG,fixed_gear,0.783888889,0
1/27/2012,-4597,-6658,ARG,fixed_gear,0.779027778,0
1/27/2012,-3572,-5673,ARG,trawlers,4.572638889,0
1/27/2012,-4339,-5993,ARG,trawlers,0.770972222,0
1/27/2012,-3571,-5673,ARG,trawlers,0.790416667,0
