0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO,0.1% DMSO
0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar),0.9375 (micromolar)
1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar),1.875 (micromolar)
3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar),3.75 (micromolar)
7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar),7.5 (micromolar)
15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar),15 (micromolar)
