Plant line,Date,Time,Digital biomass,Greenness,Plant height,Hue,Leaf angle,Leaf area,Leaf area index,Projected leaf area,Leaf inclination,Light penetration depth,NDVI,NPCI,PSRI
10-03-01 AM,2019_6_19,11-52-15 AM,11275800,0.34261,357.529,102.998,60.486,31538.2,0.197,27439,1.14911,210.62,0.63582,0.22682,0.07552
10-03-01 AM,2019_6_20,11-52-19 AM,14203900,0.36019,378.776,103.135,55.891,37499.5,0.234,30996.9,1.20775,248.714,0.6477,0.24162,0.07518
10-03-01 AM,2019_6_21,11-52-23 AM,18047500,0.36254,427.908,103.902,61.802,42176.1,0.264,37117.2,1.13466,287.911,0.64294,0.2237,0.07336
10-03-01 AM,2019_6_22,11-52-27 AM,21146200,0.34548,452.282,105.602,62.394,46754.4,0.292,40831.2,1.12847,244.969,0.63521,0.19144,0.06335
10-03-01 AM,2019_6_23,11-52-31 AM,27288200,0.37751,508.468,104.029,59.297,53667.6,0.335,44980.9,1.16301,158.118,0.65668,0.22662,0.06885
10-03-01 AM,2019_6_24,10-50-58 AM,28296700,0.41376,558.889,102.628,53.851,50630.2,0.316,40542.3,1.2384,250.487,0.68122,0.28673,0.07663
10-03-01 AM,2019_6_25,10-50-17 AM,34980900,0.36378,599.085,105.15,59.699,58390.5,0.365,50258.3,1.15821,265.965,0.65729,0.19998,0.06234
10-03-01 AM,2019_6_26,10-50-21 AM,28314600,0.3627,626.704,105.768,57.73,45180.2,0.282,37894.3,1.18266,297.798,0.65819,0.18977,0.06006
10-03-01 AM,2019_6_27,12-28-26 PM,13190900,0.33971,627.223,103.996,58.183,21030.7,0.131,17770.1,1.17682,417.586,0.65934,0.20573,0.06156
10-03-01 AM,2019_6_28,12-28-08 PM,10165200,0.2876,617.376,103.453,53.21,16465.2,0.103,13116,1.24868,453.63,0.62792,0.22365,0.04706
10-03-01 AM,2019_6_29,12-28-12 PM,5119870,0.19154,470.875,106.015,62.182,10873.1,0.068,9567.4,1.13066,258.422,0.53411,0.14033,0.01791
10-03-01 AM,2019_6_30,12-28-15 PM,10367700,0.33916,537.072,103.423,46.526,19304,0.121,13956.7,1.37797,375.395,0.60831,0.23189,0.08235
