,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0.03,0.033,0.032,0.033,0.033,0.035,0.034,0.033,0.033,0.034,-0.094
B,0,0.194,0.048,0.146,0.117,0.173,0.157,0.165,0.163,0.094,0.127,-0.001
C,0,0.176,0.055,0.172,0.118,0.173,0.164,0.182,0.171,0.097,0.122,-0.001
D,0,0.162,0.055,0.16,0.117,0.181,0.177,0.189,0.185,0.112,0.123,-0.001
E,0,0.174,0.055,0.173,0.132,0.18,0.168,0.177,0.169,0.106,0.126,-0.001
F,0,0.175,0.049,0.145,0.115,0.153,0.142,0.153,0.15,0.08,0.115,-0.001
G,0,0.177,0.053,0.145,0.101,0.145,0.13,0.148,0.142,0.09,0.116,-0.001
H,0,0.031,0.031,0.032,0.032,0.032,0.033,0.031,0.032,0.029,0.033,-0.001
