"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,34,"None","A",1,336,0.9851,251.484127,0.1,252,252,249,,
1,34,"None","A",2,286,0.965,251.8356643,-0.1,252,252,250,,
1,34,"None","A",3,254,0.937,251.9041995,0.5,252,252,250,,
1,34,"None","A",4,236,0.9237,253.0338983,0,253,253,251,,
1,34,"None","A",5,277,0.9422,252.9687124,0.1,253,253,251,,
1,34,"None","A",6,281,0.9502,253.0806643,0.2,253,253,251,,
1,34,"None","A",7,270,0.9778,252.1740741,-0.1,252,253,250,,
1,34,"None","A",8,267,0.9438,253.3158552,0.2,253,253,252,,
1,34,"None","A",9,279,0.9176,253.30227,0.2,253,254,251,,
1,34,"None","A",10,291,0.9553,253.0183276,0.2,253,253,251,,
1,34,"None","A",11,279,0.9391,252.4074074,0.2,252,252,251,,
1,34,"None","A",12,274,0.938,252.2153285,0,252,253,250,,
1,34,"None","A",13,274,0.9307,252.1836983,0.4,252,252,250,,
1,34,"None","A",14,273,0.9707,249.4041514,0,249,250,248,,
1,34,"None","A",15,292,0.9418,251.3196347,0.2,251,252,249,,
1,34,"None","A",16,268,0.9776,252.0037313,0.2,252,253,250,,
1,34,"None","A",17,280,0.9286,251.1690476,0.2,251,252,249,,
1,34,"None","A",18,287,0.9443,251.2682927,0.2,252,252,249,,
1,34,"None","A",19,278,0.9173,251.1055156,0.3,251,252,249,,
1,34,"None","A",20,283,0.9576,252.7090695,0.3,253,253,250,,
1,34,"None","A",21,291,0.9759,252.7250859,0.5,253,253,250,,
1,34,"None","A",22,282,0.9362,245.5981087,0.6,246,246,243,,
1,34,"None","A",23,291,0.9347,250.884307,0.5,252,252,248,,
1,34,"None","A",24,355,0.9465,248.9953052,0.5,250,250,246,,
1,34,"None","B",1,289,0.9273,250.3102653,0.2,251,251,248,,
1,34,"None","B",2,236,0.9195,247.440678,-0.1,248,248,245,,
1,34,"None","B",3,224,0.9554,248.3020833,0,248,249,246,,
1,34,"None","B",4,194,0.9175,252.7199313,-0.2,253,253,251,,
1,34,"None","B",5,221,0.914,250.6772247,0.1,251,251,249,,
1,34,"None","B",6,214,0.9439,252.9548287,0.2,253,253,251,,
1,34,"None","B",7,208,0.9231,250.6810897,0,251,251,249,,
1,34,"None","B",8,208,0.9423,249.1826923,0.1,249,250,247,,
1,34,"None","B",9,221,0.9864,250.8024133,0,251,251,249,,
1,34,"None","B",10,216,0.9861,251.8503086,-0.1,252,252,250,,
1,34,"None","B",11,211,0.9621,249.314376,0.1,249,250,247,,
1,34,"None","B",12,211,0.9621,250.3459716,0.2,250,251,248,,
1,34,"None","B",13,210,0.9667,250.4285714,0.3,251,251,249,,
1,34,"None","B",14,205,0.961,251.695935,0.6,252,252,249,,
1,34,"None","B",15,229,0.9214,251.9665211,0.2,252,252,250,,
1,34,"None","B",16,193,0.9482,247.283247,0.2,248,248,245,,
1,34,"None","B",17,221,0.9502,250.413273,0.1,251,251,248,,
1,34,"None","B",18,224,0.9063,244.8184524,0.3,245,246,242,,
1,34,"None","B",19,217,0.9309,247.9400922,0.3,248,249,245,,
1,34,"None","B",20,228,0.8947,242.5906433,0.5,243,243,240,,
1,34,"None","B",21,224,0.933,250.1607143,0.5,251,251,247,,
1,34,"None","B",22,243,0.9465,244.2386831,0.6,245,245,241,,
1,34,"None","B",23,253,0.9249,247.5125165,0.8,248,248,244,,
1,34,"None","B",24,315,0.9619,238.5724868,0.4,239,240,235,,
1,34,"None","C",1,270,0.9556,250.8061728,-0.1,251,252,248,,
1,34,"None","C",2,218,0.9862,249.3165138,-0.2,249,250,247,,
1,34,"None","C",3,162,0.9321,251.0534979,-0.4,251,252,249,,
1,34,"None","C",4,163,0.9571,251.3006135,-0.2,251,252,249,,
1,34,"None","C",5,178,0.9213,248.588015,0.2,249,249,246,,
1,34,"None","C",6,173,0.9364,253.1599229,0.3,253,253,251,,
1,34,"None","C",7,184,0.9185,250.1648551,-0.4,250,251,248,,
1,34,"None","C",8,162,0.9012,251.0617284,0.3,252,252,248,,
1,34,"None","C",9,183,0.9563,250.140255,-0.3,250,251,248,,
1,34,"None","C",10,204,0.9412,252.9771242,-0.1,253,253,251,,
1,34,"None","C",11,205,0.9805,251.8569106,0.3,252,252,250,,
1,34,"None","C",12,201,0.9303,251.694859,0.1,252,252,250,,
1,34,"None","C",13,194,0.933,247.6838488,0.3,248,248,245,,
1,34,"None","C",14,197,0.9137,248.9830795,0.2,249,249,247,,
1,34,"None","C",15,173,0.948,249.9210019,0.1,250,251,248,,
1,34,"None","C",16,154,0.9416,241.2878788,0.4,242,242,239,,
1,34,"None","C",17,180,0.9056,245.5851852,0.4,246,246,243,,
1,34,"None","C",18,179,0.905,245.4934823,0.5,246,246,242,,
1,34,"None","C",19,164,0.9695,250.898374,0.3,252,252,248,,
1,34,"None","C",20,165,0.9758,249.5070707,0.9,251,250,246,,
1,34,"None","C",21,188,0.9574,240.4432624,0.4,241,242,237,,
1,34,"None","C",22,192,0.9115,248.4809028,0.7,249,249,245,,
1,34,"None","C",23,233,0.9442,250.0801144,0.6,251,251,246,,
1,34,"None","C",24,306,0.9379,246.5740741,0.3,247,248,243,,
1,34,"None","D",1,266,0.9549,245.1428571,0.3,245,246,243,,
1,34,"None","D",2,219,0.9543,250.2572298,-0.1,250,251,248,,
1,34,"None","D",3,155,0.8903,252.7204301,-0.3,253,254,250,,
1,34,"None","D",4,155,0.8968,250.8709677,-0.1,251,252,248,,
1,34,"None","D",5,170,0.9294,252.8,0.3,253,253,250,,
1,34,"None","D",6,164,0.9573,251.2947154,0.1,251,252,249,,
1,34,"None","D",7,191,0.8953,251.7818499,-0.1,252,252,250,,
1,34,"None","D",8,192,0.9688,252.9201389,0,253,253,251,,
1,34,"None","D",9,200,0.94,246.7583333,0.1,247,247,245,,
1,34,"None","D",10,187,0.9251,251.6684492,0.2,252,252,250,,
1,34,"None","D",11,196,0.9388,253.0170068,0.3,253,253,251,,
1,34,"None","D",12,193,0.9275,246.4006908,-0.2,246,247,244,,
1,34,"None","D",13,188,0.8989,249.9574468,0.1,250,251,247,,
1,34,"None","D",14,192,0.9688,251.9045139,0.5,252,252,250,,
1,34,"None","D",15,156,0.9038,252.7264957,0.4,253,253,250,,
1,34,"None","D",16,202,0.9505,246.7409241,0,247,247,244,,
1,34,"None","D",17,175,0.8971,248.2647619,0.3,249,249,245,,
1,34,"None","D",18,178,0.9101,248.4419476,0.1,249,249,246,,
1,34,"None","D",19,155,0.9226,249.4795699,0.5,250,250,246,,
1,34,"None","D",20,189,0.9101,251.1604938,0.6,252,252,248,,
1,34,"None","D",21,170,0.9706,247.8313725,0.7,249,249,244,,
1,34,"None","D",22,207,0.942,247.6779388,1,249,248,245,,
1,34,"None","D",23,232,0.931,245.6925287,0.6,247,247,242,,
1,34,"None","D",24,286,0.9441,244.3275058,0.6,245,246,241,,
1,34,"None","E",1,246,0.9309,248.6626016,0.1,249,249,246,,
1,34,"None","E",2,199,0.9196,251.4874372,0,252,252,249,,
1,34,"None","E",3,191,0.8796,251.4275742,0.4,252,252,249,,
1,34,"None","E",4,181,0.9116,252.7348066,-0.2,253,253,251,,
1,34,"None","E",5,161,0.9441,249.5383023,0,250,250,247,,
1,34,"None","E",6,162,0.9012,248.2592593,0.2,249,249,246,,
1,34,"None","E",7,166,0.9036,252.7208835,-0.3,253,253,251,,
1,34,"None","E",8,168,0.9464,249.4007937,0.2,250,250,247,,
1,34,"None","E",9,106,0.8962,247.5597484,0,248,249,245,,
1,34,"None","E",10,0,0,0,0,0,0,0,,
1,34,"None","E",11,165,0.9273,248.1555556,-0.1,248,249,246,,
1,34,"None","E",12,163,0.9018,244.6646217,0.3,245,245,242,,
1,34,"None","E",13,111,0.8739,243.045045,0.5,244,244,240,,
